CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	1.0241000E-11	9.3490000E-12	1.0165000E-11	2.3900000E-11	2.9755000E-11
-2.4750000E+1	6.9050000E-12	6.0710000E-12	6.8370000E-12	1.3561000E-11	1.9813000E-11
-4.4500000E+1	6.5880000E-12	5.8740000E-12	6.5200000E-12	1.2690000E-11	1.8982000E-11
-6.4250000E+1	6.4160000E-12	5.7890000E-12	6.3470000E-12	1.2239000E-11	1.8552000E-11
-8.4000000E+1	6.3380000E-12	5.7560000E-12	6.2670000E-12	1.2024000E-11	1.8361000E-11
-1.0375000E+2	6.3330000E-12	5.7560000E-12	6.2620000E-12	1.1998000E-11	1.8351000E-11
-1.2350000E+2	6.3190000E-12	5.7440000E-12	6.2470000E-12	1.1953000E-11	1.8310000E-11
-1.4325000E+2	6.3060000E-12	5.7320000E-12	6.2340000E-12	1.1913000E-11	1.8272000E-11
-1.6300000E+2	6.3010000E-12	5.7220000E-12	6.2230000E-12	1.1879000E-11	1.8246000E-11
-1.8275000E+2	6.2840000E-12	5.7130000E-12	6.2130000E-12	1.1852000E-11	1.8210000E-11
-2.0250000E+2	6.2770000E-12	5.7040000E-12	6.2050000E-12	1.1827000E-11	1.8186000E-11
-2.2225000E+2	6.2810000E-12	5.6990000E-12	6.1970000E-12	1.1805000E-11	1.8177000E-11
-2.4200000E+2	6.2640000E-12	5.6910000E-12	6.1910000E-12	1.1784000E-11	1.8146000E-11
-2.6175000E+2	6.2590000E-12	5.6850000E-12	6.1860000E-12	1.1766000E-11	1.8130000E-11
-2.8150000E+2	6.2530000E-12	5.6810000E-12	6.1800000E-12	1.1749000E-11	1.8114000E-11
-3.0125000E+2	6.2490000E-12	5.6760000E-12	6.1750000E-12	1.1734000E-11	1.8100000E-11
-3.2100000E+2	6.2440000E-12	5.6710000E-12	6.1710000E-12	1.1720000E-11	1.8086000E-11
-3.4075000E+2	6.2410000E-12	5.6680000E-12	6.1670000E-12	1.1708000E-11	1.8076000E-11
-3.6050000E+2	6.2670000E-12	5.6660000E-12	6.1620000E-12	1.1695000E-11	1.8095000E-11
-3.8025000E+2	6.2340000E-12	5.6600000E-12	6.1580000E-12	1.1683000E-11	1.8052000E-11
-4.0000000E+2	6.2310000E-12	5.6570000E-12	6.1550000E-12	1.1673000E-11	1.8043000E-11
