IV Measurement
Barcode=33305010000619	DateIV=20160407	TempIV=23.5	HumidityIV=40.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-3.6570700E-11	0.0000000E+0
-1.0000000E+1	7.8190800E-12	0.0000000E+0
-2.0000000E+1	9.6705900E-12	0.0000000E+0
-3.0000000E+1	1.1421950E-11	0.0000000E+0
-4.0000000E+1	1.2820090E-11	0.0000000E+0
-5.0000000E+1	1.2095750E-11	0.0000000E+0
-6.0000000E+1	1.2329130E-11	0.0000000E+0
-7.0000000E+1	1.2226160E-11	0.0000000E+0
-8.0000000E+1	1.2105110E-11	0.0000000E+0
-9.0000000E+1	1.2056700E-11	0.0000000E+0
-1.0000000E+2	1.2248630E-11	0.0000000E+0
-1.1000000E+2	1.2426310E-11	0.0000000E+0
-1.2000000E+2	1.2631630E-11	0.0000000E+0
-1.3000000E+2	1.2791950E-11	0.0000000E+0
-1.4000000E+2	1.2890460E-11	0.0000000E+0
-1.5000000E+2	1.3137640E-11	0.0000000E+0
-1.6000000E+2	1.3221200E-11	0.0000000E+0
-1.7000000E+2	1.3275190E-11	0.0000000E+0
-1.8000000E+2	1.3389690E-11	0.0000000E+0
-1.9000000E+2	1.3456560E-11	0.0000000E+0
-2.0000000E+2	1.3753860E-11	0.0000000E+0
-2.1000000E+2	1.3954090E-11	0.0000000E+0
-2.2000000E+2	1.4438120E-11	0.0000000E+0
-2.3000000E+2	1.5761290E-11	0.0000000E+0
-2.4000000E+2	1.8174210E-11	0.0000000E+0
-2.5000000E+2	3.5861700E-11	0.0000000E+0
-2.6000000E+2	3.8602000E-11	0.0000000E+0
-2.7000000E+2	3.7535700E-11	0.0000000E+0
-2.8000000E+2	1.9413090E-11	0.0000000E+0
-2.9000000E+2	1.7114150E-11	0.0000000E+0
-3.0000000E+2	1.5965950E-11	0.0000000E+0
-3.1000000E+2	1.5496180E-11	0.0000000E+0
-3.2000000E+2	1.5624060E-11	0.0000000E+0
-3.3000000E+2	1.5835180E-11	0.0000000E+0
-3.4000000E+2	1.6238110E-11	0.0000000E+0
-3.5000000E+2	1.6664870E-11	0.0000000E+0
