IV Measurement
Barcode=33305010000619	DateIV=20160407	TempIV=23.5	HumidityIV=40.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-2.8510700E-10	0.0000000E+0
-1.0000000E+1	2.0070500E-9	0.0000000E+0
-2.0000000E+1	2.8248800E-9	0.0000000E+0
-3.0000000E+1	2.6280000E-9	0.0000000E+0
-4.0000000E+1	1.8939370E-9	0.0000000E+0
-5.0000000E+1	2.3952900E-9	0.0000000E+0
-6.0000000E+1	2.9566500E-9	0.0000000E+0
-7.0000000E+1	4.2515200E-9	0.0000000E+0
-8.0000000E+1	1.0208000E-8	0.0000000E+0
-9.0000000E+1	9.7156100E-9	0.0000000E+0
-1.0000000E+2	3.6449000E-9	0.0000000E+0
-1.1000000E+2	2.5845000E-9	0.0000000E+0
-1.2000000E+2	2.3750600E-9	0.0000000E+0
-1.3000000E+2	2.3206600E-9	0.0000000E+0
-1.4000000E+2	2.2935000E-9	0.0000000E+0
-1.5000000E+2	2.3160200E-9	0.0000000E+0
-1.6000000E+2	2.4641600E-9	0.0000000E+0
-1.7000000E+2	2.7924300E-9	0.0000000E+0
-1.8000000E+2	3.6543000E-9	0.0000000E+0
-1.9000000E+2	5.0121400E-9	0.0000000E+0
-2.0000000E+2	6.6329100E-9	0.0000000E+0
-2.1000000E+2	8.3724800E-9	0.0000000E+0
-2.2000000E+2	9.7650800E-9	0.0000000E+0
-2.3000000E+2	1.0625300E-8	0.0000000E+0
-2.4000000E+2	1.1146010E-8	0.0000000E+0
-2.5000000E+2	1.1394720E-8	0.0000000E+0
-2.6000000E+2	1.1442860E-8	0.0000000E+0
-2.7000000E+2	1.1381400E-8	0.0000000E+0
-2.8000000E+2	1.1236310E-8	0.0000000E+0
-2.9000000E+2	1.0961580E-8	0.0000000E+0
-3.0000000E+2	1.0480260E-8	0.0000000E+0
-3.1000000E+2	9.9779200E-9	0.0000000E+0
-3.2000000E+2	9.0024300E-9	0.0000000E+0
-3.3000000E+2	7.8241600E-9	0.0000000E+0
-3.4000000E+2	6.9640800E-9	0.0000000E+0
-3.5000000E+2	6.4457700E-9	0.0000000E+0
