IV Measurement
Barcode=33305010000619	DateIV=20160121	TempIV=23.0	HumidityIV=35.0	FluenceIV=	

Voltage		Itotal
-5.0000000E+0	7.5506000E-9	0.0000000E+0
-1.0000000E+1	8.8247400E-9	0.0000000E+0
-1.5000000E+1	9.8235300E-9	0.0000000E+0
-2.0000000E+1	1.0666340E-8	0.0000000E+0
-2.5000000E+1	1.1368410E-8	0.0000000E+0
-3.0000000E+1	1.1977390E-8	0.0000000E+0
-3.5000000E+1	1.2466750E-8	0.0000000E+0
-4.0000000E+1	1.2778290E-8	0.0000000E+0
-4.5000000E+1	1.3166300E-8	0.0000000E+0
-5.0000000E+1	1.3509390E-8	0.0000000E+0
-5.5000000E+1	1.3837450E-8	0.0000000E+0
-6.0000000E+1	1.4123920E-8	0.0000000E+0
-6.5000000E+1	1.4371720E-8	0.0000000E+0
-7.0000000E+1	1.4589820E-8	0.0000000E+0
-7.5000000E+1	1.4785950E-8	0.0000000E+0
-8.0000000E+1	1.4955060E-8	0.0000000E+0
-8.5000000E+1	1.5115650E-8	0.0000000E+0
-9.0000000E+1	1.5302280E-8	0.0000000E+0
-9.5000000E+1	1.5467740E-8	0.0000000E+0
-1.0000000E+2	1.5620950E-8	0.0000000E+0
-1.0500000E+2	1.5796400E-8	0.0000000E+0
-1.1000000E+2	1.5978850E-8	0.0000000E+0
-1.1500000E+2	1.6165630E-8	0.0000000E+0
-1.2000000E+2	1.6360260E-8	0.0000000E+0
-1.2500000E+2	1.6546510E-8	0.0000000E+0
-1.3000000E+2	1.6750130E-8	0.0000000E+0
-1.3500000E+2	1.6961730E-8	0.0000000E+0
-1.4000000E+2	1.7182050E-8	0.0000000E+0
-1.4500000E+2	1.7418360E-8	0.0000000E+0
-1.5000000E+2	1.7661680E-8	0.0000000E+0
-1.5500000E+2	1.7912350E-8	0.0000000E+0
-1.6000000E+2	1.8171410E-8	0.0000000E+0
-1.6500000E+2	1.8431080E-8	0.0000000E+0
-1.7000000E+2	1.8696350E-8	0.0000000E+0
-1.7500000E+2	1.8961360E-8	0.0000000E+0
-1.8000000E+2	1.9234450E-8	0.0000000E+0
-1.8500000E+2	1.9518240E-8	0.0000000E+0
-1.9000000E+2	1.9812660E-8	0.0000000E+0
-1.9500000E+2	2.0128260E-8	0.0000000E+0
-2.0000000E+2	2.0465600E-8	0.0000000E+0
-2.0500000E+2	2.0027500E-8	0.0000000E+0
-2.1000000E+2	2.0561300E-8	0.0000000E+0
-2.1500000E+2	2.0685300E-8	0.0000000E+0
-2.2000000E+2	2.1448900E-8	0.0000000E+0
-2.2500000E+2	2.2269600E-8	0.0000000E+0
-2.3000000E+2	2.3263200E-8	0.0000000E+0
-2.3500000E+2	2.3796200E-8	0.0000000E+0
-2.4000000E+2	2.5291800E-8	0.0000000E+0
-2.4500000E+2	2.7678900E-8	0.0000000E+0
-2.5000000E+2	3.1895000E-8	0.0000000E+0
-2.5500000E+2	3.9629500E-8	0.0000000E+0
-2.6000000E+2	5.6760300E-8	0.0000000E+0
-2.6500000E+2	8.2843500E-8	0.0000000E+0
-2.7000000E+2	1.2540270E-7	0.0000000E+0
-2.7500000E+2	2.2318500E-7	0.0000000E+0
-2.8000000E+2	3.1988300E-7	0.0000000E+0
-2.8500000E+2	4.3037300E-7	0.0000000E+0
-2.9000000E+2	5.4170500E-7	0.0000000E+0
-2.9500000E+2	6.7288800E-7	0.0000000E+0
-3.0000000E+2	7.8257700E-7	0.0000000E+0
