IV Measurement
Barcode=33305010000619	DateIV=20160407	TempIV=23.5	HumidityIV=40.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-8.0208100E-11	0.0000000E+0
-1.0000000E+1	2.9076200E-9	0.0000000E+0
-2.0000000E+1	2.6358100E-9	0.0000000E+0
-3.0000000E+1	8.2697100E-12	0.0000000E+0
-4.0000000E+1	9.3205200E-12	0.0000000E+0
-5.0000000E+1	9.9686200E-12	0.0000000E+0
-6.0000000E+1	1.0356540E-11	0.0000000E+0
-7.0000000E+1	1.0503800E-11	0.0000000E+0
-8.0000000E+1	1.0707410E-11	0.0000000E+0
-9.0000000E+1	1.0708390E-11	0.0000000E+0
-1.0000000E+2	1.2118410E-11	0.0000000E+0
-1.1000000E+2	1.7052130E-11	0.0000000E+0
-1.2000000E+2	4.1427900E-11	0.0000000E+0
-1.3000000E+2	5.4648400E-11	0.0000000E+0
-1.4000000E+2	6.4687300E-11	0.0000000E+0
-1.5000000E+2	7.0802800E-11	0.0000000E+0
-1.6000000E+2	7.4876500E-11	0.0000000E+0
-1.7000000E+2	7.8945500E-11	0.0000000E+0
-1.8000000E+2	2.2764800E-10	0.0000000E+0
-1.9000000E+2	3.4232200E-10	0.0000000E+0
-2.0000000E+2	5.5324600E-10	0.0000000E+0
-2.1000000E+2	8.1680100E-10	0.0000000E+0
-2.2000000E+2	1.0796700E-9	0.0000000E+0
-2.3000000E+2	1.3154000E-9	0.0000000E+0
-2.4000000E+2	1.5136830E-9	0.0000000E+0
-2.5000000E+2	1.6687510E-9	0.0000000E+0
-2.6000000E+2	1.7826530E-9	0.0000000E+0
-2.7000000E+2	1.8846730E-9	0.0000000E+0
-2.8000000E+2	1.9688990E-9	0.0000000E+0
-2.9000000E+2	2.0386800E-9	0.0000000E+0
-3.0000000E+2	2.1360800E-9	0.0000000E+0
-3.1000000E+2	2.3649200E-9	0.0000000E+0
-3.2000000E+2	2.6712500E-9	0.0000000E+0
-3.3000000E+2	2.9230800E-9	0.0000000E+0
-3.4000000E+2	3.0567400E-9	0.0000000E+0
-3.5000000E+2	3.1048400E-9	0.0000000E+0
