IV Measurement
Barcode=33305010000619	DateIV=20160407	TempIV=23.5	HumidityIV=40.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-7.3863600E-11	0.0000000E+0
-1.0000000E+1	2.3999400E-9	0.0000000E+0
-2.0000000E+1	2.8627600E-9	0.0000000E+0
-3.0000000E+1	3.1028400E-9	0.0000000E+0
-4.0000000E+1	1.1622080E-9	0.0000000E+0
-5.0000000E+1	1.8091100E-9	0.0000000E+0
-6.0000000E+1	2.1429700E-9	0.0000000E+0
-7.0000000E+1	2.7659000E-9	0.0000000E+0
-8.0000000E+1	3.3179300E-9	0.0000000E+0
-9.0000000E+1	3.7607700E-9	0.0000000E+0
-1.0000000E+2	3.4983800E-9	0.0000000E+0
-1.1000000E+2	3.1586600E-9	0.0000000E+0
-1.2000000E+2	3.0504600E-9	0.0000000E+0
-1.3000000E+2	2.9856100E-9	0.0000000E+0
-1.4000000E+2	2.9532800E-9	0.0000000E+0
-1.5000000E+2	2.9596500E-9	0.0000000E+0
-1.6000000E+2	2.9741200E-9	0.0000000E+0
-1.7000000E+2	3.0106900E-9	0.0000000E+0
-1.8000000E+2	3.0903900E-9	0.0000000E+0
-1.9000000E+2	3.2154700E-9	0.0000000E+0
-2.0000000E+2	3.5032200E-9	0.0000000E+0
-2.1000000E+2	4.0400800E-9	0.0000000E+0
-2.2000000E+2	5.2882100E-9	0.0000000E+0
-2.3000000E+2	7.6830600E-9	0.0000000E+0
-2.4000000E+2	1.0518790E-8	0.0000000E+0
-2.5000000E+2	1.3011500E-8	0.0000000E+0
-2.6000000E+2	1.5052240E-8	0.0000000E+0
-2.7000000E+2	1.6498000E-8	0.0000000E+0
-2.8000000E+2	1.7396830E-8	0.0000000E+0
-2.9000000E+2	1.8763950E-8	0.0000000E+0
-3.0000000E+2	2.0098900E-8	0.0000000E+0
-3.1000000E+2	2.1895600E-8	0.0000000E+0
-3.2000000E+2	2.4042100E-8	0.0000000E+0
-3.3000000E+2	2.7098700E-8	0.0000000E+0
-3.4000000E+2	3.2415800E-8	0.0000000E+0
-3.5000000E+2	4.1423200E-8	0.0000000E+0
