CV Measurement
Barcode=33305010000619	DateCV=20151103	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
0.0000000E+0	2.9540000E-11	2.8900000E-11	2.9290000E-11	8.2640000E-11	8.7730000E-11
-4.0000000E+1	8.0390000E-12	7.2350000E-12	7.7560000E-12	1.5967000E-11	2.3030000E-11
-8.0000000E+1	6.8850000E-12	6.3350000E-12	6.7910000E-12	1.2841000E-11	2.0011000E-11
-1.2000000E+2	6.5850000E-12	6.0580000E-12	6.5090000E-12	1.1946000E-11	1.9152000E-11
-1.6000000E+2	6.3930000E-12	5.8760000E-12	6.3150000E-12	1.1363000E-11	1.8584000E-11
-2.0000000E+2	6.2530000E-12	5.7480000E-12	6.1730000E-12	1.0940000E-11	1.8174000E-11
-2.4000000E+2	6.1370000E-12	5.6440000E-12	6.0550000E-12	1.0593000E-11	1.7836000E-11
-2.8000000E+2	6.1040000E-12	5.6140000E-12	6.0190000E-12	1.0490000E-11	1.7737000E-11
-3.2000000E+2	6.1020000E-12	5.6120000E-12	6.0160000E-12	1.0482000E-11	1.7730000E-11
-3.6000000E+2	6.1020000E-12	5.6100000E-12	6.0140000E-12	1.0476000E-11	1.7726000E-11
-4.0000000E+2	6.1010000E-12	5.6100000E-12	6.0120000E-12	1.0472000E-11	1.7723000E-11
