CV Measurement
Barcode=33305010000619	DateCV=20151103	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
0.0000000E+0	1.2295000E-10	1.2209000E-10	1.1932000E-10	3.6750000E-10	3.6436000E-10
-2.0000000E+1	1.0037000E-11	9.2380000E-12	9.9250000E-12	2.2380000E-11	2.9200000E-11
-4.0000000E+1	7.9440000E-12	7.3090000E-12	7.8060000E-12	1.6002000E-11	2.3059000E-11
-6.0000000E+1	7.2500000E-12	6.6980000E-12	7.1640000E-12	1.3995000E-11	2.1112000E-11
-8.0000000E+1	6.9440000E-12	6.4070000E-12	6.8710000E-12	1.3074000E-11	2.0222000E-11
-1.0000000E+2	6.7660000E-12	6.2310000E-12	6.6890000E-12	1.2511000E-11	1.9686000E-11
-1.2000000E+2	6.6270000E-12	6.0940000E-12	6.5500000E-12	1.2080000E-11	1.9271000E-11
-1.4000000E+2	6.5130000E-12	5.9870000E-12	6.4350000E-12	1.1735000E-11	1.8935000E-11
-1.6000000E+2	6.4200000E-12	5.9010000E-12	6.3430000E-12	1.1458000E-11	1.8664000E-11
-1.8000000E+2	6.3420000E-12	5.8270000E-12	6.2640000E-12	1.1219000E-11	1.8433000E-11
-2.0000000E+2	6.2730000E-12	5.7640000E-12	6.1940000E-12	1.1014000E-11	1.8231000E-11
-2.2000000E+2	6.2110000E-12	5.7090000E-12	6.1320000E-12	1.0830000E-11	1.8052000E-11
-2.4000000E+2	6.1650000E-12	5.6580000E-12	6.0720000E-12	1.0652000E-11	1.7895000E-11
-2.6000000E+2	6.1180000E-12	5.6270000E-12	6.0370000E-12	1.0549000E-11	1.7782000E-11
-2.8000000E+2	6.1110000E-12	5.6200000E-12	6.0300000E-12	1.0527000E-11	1.7761000E-11
-3.0000000E+2	6.1270000E-12	5.6190000E-12	6.0270000E-12	1.0520000E-11	1.7773000E-11
-3.2000000E+2	6.1100000E-12	5.6180000E-12	6.0280000E-12	1.0520000E-11	1.7756000E-11
-3.4000000E+2	6.1080000E-12	5.6160000E-12	6.0260000E-12	1.0516000E-11	1.7750000E-11
-3.6000000E+2	6.1060000E-12	5.6130000E-12	6.0230000E-12	1.0508000E-11	1.7742000E-11
-3.8000000E+2	6.1070000E-12	5.6130000E-12	6.0230000E-12	1.0507000E-11	1.7743000E-11
-4.0000000E+2	6.1070000E-12	5.6140000E-12	6.0230000E-12	1.0506000E-11	1.7744000E-11
