CV Measurement
Barcode=33305010000619	DateCV=20160311	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	2.8516700E-10	0.0000000E+0	2.8516700E-10
-1.0000000E+1	1.9842290E-10	0.0000000E+0	1.9842290E-10
-1.5000000E+1	1.5603590E-10	0.0000000E+0	1.5603590E-10
-2.0000000E+1	1.3433495E-10	0.0000000E+0	1.3433495E-10
-2.5000000E+1	1.1973830E-10	0.0000000E+0	1.1973830E-10
-3.0000000E+1	1.0897240E-10	0.0000000E+0	1.0897240E-10
-3.5000000E+1	1.0031590E-10	0.0000000E+0	1.0031590E-10
-4.0000000E+1	9.3340950E-11	0.0000000E+0	9.3340950E-11
-4.5000000E+1	8.7569950E-11	0.0000000E+0	8.7569950E-11
-5.0000000E+1	8.2565100E-11	0.0000000E+0	8.2565100E-11
-5.5000000E+1	7.8425900E-11	0.0000000E+0	7.8425900E-11
-6.0000000E+1	7.4316550E-11	0.0000000E+0	7.4316550E-11
-6.5000000E+1	7.0993250E-11	0.0000000E+0	7.0993250E-11
-7.0000000E+1	6.7570450E-11	0.0000000E+0	6.7570450E-11
-7.5000000E+1	6.4694900E-11	0.0000000E+0	6.4694900E-11
-8.0000000E+1	6.2107900E-11	0.0000000E+0	6.2107900E-11
-8.5000000E+1	6.0028350E-11	0.0000000E+0	6.0028350E-11
-9.0000000E+1	5.8426400E-11	0.0000000E+0	5.8426400E-11
-9.5000000E+1	5.7033400E-11	0.0000000E+0	5.7033400E-11
-1.0000000E+2	5.5640400E-11	0.0000000E+0	5.5640400E-11
-1.0500000E+2	5.3252400E-11	0.0000000E+0	5.3252400E-11
-1.1000000E+2	4.8954000E-11	0.0000000E+0	4.8954000E-11
-1.1500000E+2	4.7371950E-11	0.0000000E+0	4.7371950E-11
-1.2000000E+2	4.6446600E-11	0.0000000E+0	4.6446600E-11
-1.2500000E+2	4.5660550E-11	0.0000000E+0	4.5660550E-11
-1.3000000E+2	4.5083450E-11	0.0000000E+0	4.5083450E-11
-1.3500000E+2	4.4088450E-11	0.0000000E+0	4.4088450E-11
-1.4000000E+2	4.3401900E-11	0.0000000E+0	4.3401900E-11
-1.4500000E+2	4.2665600E-11	0.0000000E+0	4.2665600E-11
-1.5000000E+2	4.2377050E-11	0.0000000E+0	4.2377050E-11
-1.5500000E+2	4.1471600E-11	0.0000000E+0	4.1471600E-11
-1.6000000E+2	4.0864650E-11	0.0000000E+0	4.0864650E-11
-1.6500000E+2	4.0635800E-11	0.0000000E+0	4.0635800E-11
-1.7000000E+2	3.9790050E-11	0.0000000E+0	3.9790050E-11
-1.7500000E+2	3.9312450E-11	0.0000000E+0	3.9312450E-11
-1.8000000E+2	3.8805000E-11	0.0000000E+0	3.8805000E-11
-1.8500000E+2	3.8745300E-11	0.0000000E+0	3.8745300E-11
-1.9000000E+2	3.7859750E-11	0.0000000E+0	3.7859750E-11
