CV Measurement
Barcode=33305010000619	DateCV=20151223	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	2.5320000E-12	0.0000000E+0	2.5320000E-12
-3.0000000E+1	2.5350000E-12	0.0000000E+0	2.5350000E-12
-5.5000000E+1	2.5350000E-12	0.0000000E+0	2.5350000E-12
-8.0000000E+1	2.5360000E-12	0.0000000E+0	2.5360000E-12
-1.0500000E+2	2.5380000E-12	0.0000000E+0	2.5380000E-12
-1.3000000E+2	2.5360000E-12	0.0000000E+0	2.5360000E-12
-1.5500000E+2	2.5370000E-12	0.0000000E+0	2.5370000E-12
-1.8000000E+2	2.5370000E-12	0.0000000E+0	2.5370000E-12
-2.0500000E+2	2.5360000E-12	0.0000000E+0	2.5360000E-12
-2.3000000E+2	2.5370000E-12	0.0000000E+0	2.5370000E-12
-2.5500000E+2	2.5440000E-12	0.0000000E+0	2.5440000E-12
-2.8000000E+2	2.5380000E-12	0.0000000E+0	2.5380000E-12
-3.0500000E+2	2.5480000E-12	0.0000000E+0	2.5480000E-12
-3.3000000E+2	2.5380000E-12	0.0000000E+0	2.5380000E-12
-3.5500000E+2	2.5390000E-12	0.0000000E+0	2.5390000E-12
-3.8000000E+2	2.5550000E-12	0.0000000E+0	2.5550000E-12
-4.0500000E+2	2.5390000E-12	0.0000000E+0	2.5390000E-12
-4.3000000E+2	2.5390000E-12	0.0000000E+0	2.5390000E-12
-4.5500000E+2	2.5600000E-12	0.0000000E+0	2.5600000E-12
-4.8000000E+2	2.5410000E-12	0.0000000E+0	2.5410000E-12
-5.0500000E+2	2.5410000E-12	0.0000000E+0	2.5410000E-12
