IV Measurement
Barcode=33305010000619	DateIV=20151105	TempIV=23.5	HumidityIV=50.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-8.1213800E-10	0.0000000E+0
-1.0000000E+1	2.1480100E-9	0.0000000E+0
-2.0000000E+1	2.8367000E-9	0.0000000E+0
-3.0000000E+1	3.2611300E-9	0.0000000E+0
-4.0000000E+1	3.6204600E-9	0.0000000E+0
-5.0000000E+1	3.8894200E-9	0.0000000E+0
-6.0000000E+1	4.1221400E-9	0.0000000E+0
-7.0000000E+1	4.3253100E-9	0.0000000E+0
-8.0000000E+1	4.4909400E-9	0.0000000E+0
-9.0000000E+1	4.5772900E-9	0.0000000E+0
-1.0000000E+2	4.6657000E-9	0.0000000E+0
-1.1000000E+2	4.7954600E-9	0.0000000E+0
-1.2000000E+2	4.8569800E-9	0.0000000E+0
-1.3000000E+2	4.8888200E-9	0.0000000E+0
-1.4000000E+2	4.9235100E-9	0.0000000E+0
-1.5000000E+2	4.9485800E-9	0.0000000E+0
-1.6000000E+2	4.9777900E-9	0.0000000E+0
-1.7000000E+2	5.0012400E-9	0.0000000E+0
-1.8000000E+2	5.0316400E-9	0.0000000E+0
-1.9000000E+2	5.0593100E-9	0.0000000E+0
-2.0000000E+2	5.0850500E-9	0.0000000E+0
-2.1000000E+2	5.1187600E-9	0.0000000E+0
-2.2000000E+2	5.1568600E-9	0.0000000E+0
-2.3000000E+2	5.1901100E-9	0.0000000E+0
-2.4000000E+2	5.2261300E-9	0.0000000E+0
-2.5000000E+2	5.2489700E-9	0.0000000E+0
-2.6000000E+2	5.2744200E-9	0.0000000E+0
-2.7000000E+2	5.2967000E-9	0.0000000E+0
-2.8000000E+2	5.3221600E-9	0.0000000E+0
-2.9000000E+2	5.3424300E-9	0.0000000E+0
-3.0000000E+2	5.3560200E-9	0.0000000E+0
-3.1000000E+2	5.3784900E-9	0.0000000E+0
-3.2000000E+2	5.3898300E-9	0.0000000E+0
-3.3000000E+2	5.4131200E-9	0.0000000E+0
-3.4000000E+2	5.4246800E-9	0.0000000E+0
-3.5000000E+2	5.4439300E-9	0.0000000E+0
-3.6000000E+2	5.4583100E-9	0.0000000E+0
-3.7000000E+2	5.4742400E-9	0.0000000E+0
-3.8000000E+2	5.4867200E-9	0.0000000E+0
-3.9000000E+2	5.5043200E-9	0.0000000E+0
-4.0000000E+2	5.5148900E-9	0.0000000E+0
-4.1000000E+2	5.5310200E-9	0.0000000E+0
-4.2000000E+2	5.5417000E-9	0.0000000E+0
-4.3000000E+2	5.5564900E-9	0.0000000E+0
-4.4000000E+2	5.5700800E-9	0.0000000E+0
-4.5000000E+2	5.5806300E-9	0.0000000E+0
-4.6000000E+2	5.5906500E-9	0.0000000E+0
-4.7000000E+2	5.6036300E-9	0.0000000E+0
-4.8000000E+2	5.6098800E-9	0.0000000E+0
-4.9000000E+2	5.6191700E-9	0.0000000E+0
-5.0000000E+2	5.6297500E-9	0.0000000E+0
-5.1000000E+2	5.6374700E-9	0.0000000E+0
-5.2000000E+2	5.6487200E-9	0.0000000E+0
-5.3000000E+2	5.6555100E-9	0.0000000E+0
-5.4000000E+2	5.6675200E-9	0.0000000E+0
-5.5000000E+2	5.6750200E-9	0.0000000E+0
-5.6000000E+2	5.6833000E-9	0.0000000E+0
-5.7000000E+2	5.6955500E-9	0.0000000E+0
-5.8000000E+2	5.7029200E-9	0.0000000E+0
-5.9000000E+2	5.7147800E-9	0.0000000E+0
-6.0000000E+2	5.7223400E-9	0.0000000E+0
-6.1000000E+2	5.7354500E-9	0.0000000E+0
-6.2000000E+2	5.7423900E-9	0.0000000E+0
-6.3000000E+2	5.7532100E-9	0.0000000E+0
-6.4000000E+2	5.7637400E-9	0.0000000E+0
-6.5000000E+2	5.7723600E-9	0.0000000E+0
-6.6000000E+2	5.7869300E-9	0.0000000E+0
-6.7000000E+2	5.7960100E-9	0.0000000E+0
-6.8000000E+2	5.8061200E-9	0.0000000E+0
-6.9000000E+2	5.8152400E-9	0.0000000E+0
-7.0000000E+2	5.8281400E-9	0.0000000E+0
