IV Measurement
Barcode=33305010000619	DateIV=20151105	TempIV=23.5	HumidityIV=50.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-7.5062500E-10	0.0000000E+0
-1.0000000E+1	2.0218500E-9	0.0000000E+0
-2.0000000E+1	2.6685600E-9	0.0000000E+0
-3.0000000E+1	3.0670500E-9	0.0000000E+0
-4.0000000E+1	3.3661800E-9	0.0000000E+0
-5.0000000E+1	3.5952100E-9	0.0000000E+0
-6.0000000E+1	3.8045300E-9	0.0000000E+0
-7.0000000E+1	4.0093800E-9	0.0000000E+0
-8.0000000E+1	4.1788000E-9	0.0000000E+0
-9.0000000E+1	4.2650900E-9	0.0000000E+0
-1.0000000E+2	4.3207000E-9	0.0000000E+0
-1.1000000E+2	4.4311100E-9	0.0000000E+0
-1.2000000E+2	4.5419300E-9	0.0000000E+0
-1.3000000E+2	4.5879000E-9	0.0000000E+0
-1.4000000E+2	4.6251900E-9	0.0000000E+0
-1.5000000E+2	4.6569100E-9	0.0000000E+0
-1.6000000E+2	4.6878000E-9	0.0000000E+0
-1.7000000E+2	4.7145200E-9	0.0000000E+0
-1.8000000E+2	4.7401400E-9	0.0000000E+0
-1.9000000E+2	4.7647600E-9	0.0000000E+0
-2.0000000E+2	4.7955100E-9	0.0000000E+0
-2.1000000E+2	4.8266300E-9	0.0000000E+0
-2.2000000E+2	4.8589400E-9	0.0000000E+0
-2.3000000E+2	4.8905700E-9	0.0000000E+0
-2.4000000E+2	4.9230300E-9	0.0000000E+0
-2.5000000E+2	4.9527400E-9	0.0000000E+0
-2.6000000E+2	4.9737500E-9	0.0000000E+0
-2.7000000E+2	4.9973000E-9	0.0000000E+0
-2.8000000E+2	5.0183800E-9	0.0000000E+0
-2.9000000E+2	5.0418300E-9	0.0000000E+0
-3.0000000E+2	5.0572200E-9	0.0000000E+0
-3.1000000E+2	5.0780800E-9	0.0000000E+0
-3.2000000E+2	5.0927600E-9	0.0000000E+0
-3.3000000E+2	5.1125300E-9	0.0000000E+0
-3.4000000E+2	5.1282300E-9	0.0000000E+0
-3.5000000E+2	5.1433400E-9	0.0000000E+0
-3.6000000E+2	5.1577400E-9	0.0000000E+0
-3.7000000E+2	5.1668200E-9	0.0000000E+0
-3.8000000E+2	5.1779200E-9	0.0000000E+0
-3.9000000E+2	5.1868300E-9	0.0000000E+0
-4.0000000E+2	5.1943500E-9	0.0000000E+0
-4.1000000E+2	5.2037300E-9	0.0000000E+0
-4.2000000E+2	5.2312100E-9	0.0000000E+0
-4.3000000E+2	5.2557700E-9	0.0000000E+0
-4.4000000E+2	5.2820400E-9	0.0000000E+0
-4.5000000E+2	5.3396900E-9	0.0000000E+0
-4.6000000E+2	5.9309000E-9	0.0000000E+0
-4.7000000E+2	5.9696500E-9	0.0000000E+0
-4.8000000E+2	5.9738100E-9	0.0000000E+0
-4.9000000E+2	5.8841700E-9	0.0000000E+0
-5.0000000E+2	3.2142200E-8	0.0000000E+0
-5.1000000E+2	5.2425900E-7	0.0000000E+0
-5.2000000E+2	9.8797300E-7	0.0000000E+0
-5.3000000E+2	1.4961760E-6	0.0000000E+0
-5.4000000E+2	2.1932300E-6	0.0000000E+0
-5.5000000E+2	3.1326600E-6	0.0000000E+0
-5.6000000E+2	6.6993700E-6	0.0000000E+0
-5.7000000E+2	1.0100940E-5	0.0000000E+0
-5.8000000E+2	1.3821140E-5	0.0000000E+0
-5.9000000E+2	1.7479930E-5	0.0000000E+0
-6.0000000E+2	2.0763900E-5	0.0000000E+0
-6.1000000E+2	2.8021600E-5	0.0000000E+0
-6.2000000E+2	3.2675600E-5	0.0000000E+0
-6.3000000E+2	3.8134700E-5	0.0000000E+0
-6.4000000E+2	4.3888400E-5	0.0000000E+0
