IV Measurement
Barcode=33305010000619	DateIV=20151106	TempIV=23.3	HumidityIV=50.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-5.6664300E-10	0.0000000E+0
-1.0000000E+1	1.3601670E-9	0.0000000E+0
-2.0000000E+1	1.5424230E-9	0.0000000E+0
-3.0000000E+1	1.6631670E-9	0.0000000E+0
-4.0000000E+1	1.7148260E-9	0.0000000E+0
-5.0000000E+1	1.7595020E-9	0.0000000E+0
-6.0000000E+1	2.0632300E-9	0.0000000E+0
-7.0000000E+1	2.1256300E-9	0.0000000E+0
-8.0000000E+1	2.1904500E-9	0.0000000E+0
-9.0000000E+1	2.2511200E-9	0.0000000E+0
-1.0000000E+2	2.3159800E-9	0.0000000E+0
-1.1000000E+2	2.3763200E-9	0.0000000E+0
-1.2000000E+2	2.4321400E-9	0.0000000E+0
-1.3000000E+2	2.4892200E-9	0.0000000E+0
-1.4000000E+2	2.5429100E-9	0.0000000E+0
-1.5000000E+2	2.5946700E-9	0.0000000E+0
-1.6000000E+2	2.6448400E-9	0.0000000E+0
-1.7000000E+2	2.6905200E-9	0.0000000E+0
-1.8000000E+2	2.7375700E-9	0.0000000E+0
-1.9000000E+2	2.7841600E-9	0.0000000E+0
-2.0000000E+2	2.8310100E-9	0.0000000E+0
-2.1000000E+2	2.8741600E-9	0.0000000E+0
-2.2000000E+2	2.9201700E-9	0.0000000E+0
-2.3000000E+2	2.9629200E-9	0.0000000E+0
-2.4000000E+2	3.0079800E-9	0.0000000E+0
-2.5000000E+2	3.0523600E-9	0.0000000E+0
-2.6000000E+2	3.0978200E-9	0.0000000E+0
-2.7000000E+2	3.1425200E-9	0.0000000E+0
-2.8000000E+2	3.1876800E-9	0.0000000E+0
-2.9000000E+2	3.2373600E-9	0.0000000E+0
-3.0000000E+2	3.2853500E-9	0.0000000E+0
-3.1000000E+2	3.3310400E-9	0.0000000E+0
-3.2000000E+2	3.3805200E-9	0.0000000E+0
-3.3000000E+2	3.4274100E-9	0.0000000E+0
-3.4000000E+2	3.4782400E-9	0.0000000E+0
-3.5000000E+2	3.5276700E-9	0.0000000E+0
-3.6000000E+2	3.5794100E-9	0.0000000E+0
-3.7000000E+2	3.6332200E-9	0.0000000E+0
-3.8000000E+2	3.6888500E-9	0.0000000E+0
-3.9000000E+2	3.7440100E-9	0.0000000E+0
-4.0000000E+2	3.8030600E-9	0.0000000E+0
-4.1000000E+2	3.8586900E-9	0.0000000E+0
-4.2000000E+2	3.9200900E-9	0.0000000E+0
-4.3000000E+2	3.9805600E-9	0.0000000E+0
-4.4000000E+2	4.0407800E-9	0.0000000E+0
-4.5000000E+2	4.1065500E-9	0.0000000E+0
-4.6000000E+2	4.1714900E-9	0.0000000E+0
-4.7000000E+2	4.2393100E-9	0.0000000E+0
-4.8000000E+2	4.3099400E-9	0.0000000E+0
-4.9000000E+2	4.3790700E-9	0.0000000E+0
-5.0000000E+2	4.4514400E-9	0.0000000E+0
-5.1000000E+2	4.5260000E-9	0.0000000E+0
-5.2000000E+2	4.6042000E-9	0.0000000E+0
-5.3000000E+2	4.6830800E-9	0.0000000E+0
-5.4000000E+2	4.7625600E-9	0.0000000E+0
-5.5000000E+2	4.8457000E-9	0.0000000E+0
-5.6000000E+2	4.9299500E-9	0.0000000E+0
-5.7000000E+2	5.0153800E-9	0.0000000E+0
-5.8000000E+2	5.1045500E-9	0.0000000E+0
-5.9000000E+2	5.1970100E-9	0.0000000E+0
-6.0000000E+2	5.2914400E-9	0.0000000E+0
-6.1000000E+2	5.3910700E-9	0.0000000E+0
-6.2000000E+2	5.4910400E-9	0.0000000E+0
-6.3000000E+2	5.5944100E-9	0.0000000E+0
-6.4000000E+2	5.7039800E-9	0.0000000E+0
-6.5000000E+2	5.8124400E-9	0.0000000E+0
-6.6000000E+2	5.9244400E-9	0.0000000E+0
-6.7000000E+2	6.0467900E-9	0.0000000E+0
-6.8000000E+2	6.1674200E-9	0.0000000E+0
-6.9000000E+2	6.2936800E-9	0.0000000E+0
-7.0000000E+2	6.4264000E-9	0.0000000E+0
