0	-1.1746e-09	-1.9449e-09	-1.0207e-09	-9.085e-10	-9.573e-10	-2.103e-09	-8.517e-10	-7.506e-10	-1.1895e-09	-8.121e-10	-7.19e-10
-10	2.5822e-09	9.1404e-09	2.2949e-09	2.1741e-09	2.4769e-09	1.19682e-08	2.1309e-09	2.0219e-09	6.1838e-09	2.148e-09	2.0296e-09
-20	3.4884e-09	1.24268e-08	2.9929e-09	2.8341e-09	3.3925e-09	1.6111e-08	2.8382e-09	2.6686e-09	8.2405e-09	2.8367e-09	2.5128e-09
-30	4.4322e-09	1.45466e-08	3.6826e-09	3.4455e-09	4.3455e-09	1.88027e-08	3.4695e-09	3.0671e-09	9.619e-09	3.2611e-09	2.8409e-09
-40	5.5228e-09	1.59463e-08	4.3415e-09	3.9148e-09	5.268e-09	2.06881e-08	3.9074e-09	3.3662e-09	1.05764e-08	3.6205e-09	3.0869e-09
-50	6.6883e-09	1.69335e-08	4.8339e-09	4.2743e-09	6.0418e-09	2.20131e-08	4.2402e-09	3.5952e-09	1.11904e-08	3.8894e-09	3.3026e-09
-60	7.5528e-09	1.76818e-08	5.2061e-09	4.5892e-09	6.6355e-09	2.30116e-08	4.5184e-09	3.8045e-09	1.16199e-08	4.1221e-09	3.4995e-09
-70	8.0531e-09	1.82721e-08	5.5197e-09	4.8545e-09	7.0767e-09	2.38161e-08	4.7565e-09	4.0094e-09	1.19529e-08	4.3253e-09	3.6873e-09
-80	8.3701e-09	1.87036e-08	5.7492e-09	5.057e-09	7.3807e-09	2.44394e-08	4.9431e-09	4.1788e-09	1.22071e-08	4.4909e-09	3.8315e-09
-90	8.5352e-09	1.89893e-08	5.8657e-09	5.1628e-09	7.5485e-09	2.4848e-08	5.0503e-09	4.2651e-09	1.23576e-08	4.5773e-09	3.9135e-09
-100	8.6413e-09	1.92101e-08	5.9437e-09	5.2276e-09	7.6541e-09	2.5153e-08	5.1238e-09	4.3207e-09	1.24891e-08	4.6657e-09	4.037e-09
-110	8.8065e-09	1.93888e-08	6.0703e-09	5.3545e-09	7.7876e-09	2.54132e-08	5.2328e-09	4.4311e-09	1.26725e-08	4.7955e-09	4.1468e-09
-120	8.9107e-09	1.96225e-08	6.1768e-09	5.4609e-09	7.9381e-09	2.57024e-08	5.3534e-09	4.5419e-09	1.28139e-08	4.857e-09	4.1931e-09
-130	8.973e-09	1.98405e-08	6.2326e-09	5.5066e-09	7.9989e-09	2.6004e-08	5.4076e-09	4.5879e-09	1.29016e-08	4.8888e-09	4.2297e-09
-140	9.0242e-09	1.99931e-08	6.2703e-09	5.5444e-09	8.0523e-09	2.62172e-08	5.4477e-09	4.6252e-09	1.29827e-08	4.9235e-09	4.2886e-09
-150	9.0711e-09	2.01179e-08	6.3089e-09	5.5733e-09	8.0951e-09	2.63942e-08	5.4814e-09	4.6569e-09	1.30549e-08	4.9486e-09	4.2886e-09
-160	9.117e-09	2.02197e-08	6.3376e-09	5.6012e-09	8.1297e-09	2.65457e-08	5.5064e-09	4.6878e-09	1.31197e-08	4.9778e-09	4.3183e-09
-170	9.1594e-09	2.03088e-08	6.3728e-09	5.6266e-09	8.1647e-09	2.66784e-08	5.533e-09	4.7145e-09	1.31845e-08	5.0012e-09	4.3382e-09
-180	9.2007e-09	2.0396e-08	6.4023e-09	5.6521e-09	8.2008e-09	2.67984e-08	5.5599e-09	4.7401e-09	1.324e-08	5.0316e-09	4.3651e-09
-190	9.2424e-09	2.04787e-08	6.4313e-09	5.6818e-09	8.2378e-09	2.69126e-08	5.5878e-09	4.7648e-09	1.32948e-08	5.0593e-09	4.3946e-09
