Voltage	Region 1	Region 2	Region 3	Region 4	Region 5	Region 6	Region 7	Region 8	Region 9	Region 10	Region 11
-210	9.34E-09	2.07E-08	6.50E-09	5.75E-09	8.33E-09	2.71E-08	5.65E-09	4.83E-09	1.34E-08	5.12E-09	4.46E-09
-220	9.40E-09	2.07E-08	6.54E-09	5.79E-09	8.38E-09	2.73E-08	5.69E-09	4.86E-09	1.35E-08	5.16E-09	4.50E-09
-230	9.47E-09	2.08E-08	6.59E-09	5.83E-09	8.44E-09	2.74E-08	5.73E-09	4.89E-09	1.35E-08	5.19E-09	4.53E-09
-240	9.55E-09	2.10E-08	6.64E-09	5.87E-09	8.50E-09	2.76E-08	5.76E-09	4.92E-09	1.38E-08	5.23E-09	4.57E-09
-250	9.63E-09	2.11E-08	6.69E-09	5.92E-09	8.56E-09	2.77E-08	5.80E-09	4.95E-09	1.39E-08	5.25E-09	4.59E-09
-260	9.71E-09	2.12E-08	6.74E-09	5.95E-09	8.61E-09	2.78E-08	5.82E-09	4.97E-09	1.40E-08	5.27E-09	4.61E-09
-270	9.79E-09	2.13E-08	6.78E-09	5.98E-09	8.66E-09	2.80E-08	5.85E-09	5.00E-09	1.40E-08	5.30E-09	4.63E-09
-280	9.85E-09	2.13E-08	6.81E-09	6.01E-09	8.70E-09	2.81E-08	5.87E-09	5.02E-09	1.41E-08	5.32E-09	4.65E-09
-290	9.90E-09	2.14E-08	6.84E-09	6.03E-09	8.73E-09	2.82E-08	5.89E-09	5.04E-09	1.42E-08	5.34E-09	4.67E-09
-300	9.95E-09	2.15E-08	6.87E-09	6.06E-09	8.76E-09	2.83E-08	5.91E-09	5.06E-09	1.42E-08	5.36E-09	4.69E-09
-310	9.99E-09	2.15E-08	6.89E-09	6.07E-09	8.79E-09	2.83E-08	5.93E-09	5.08E-09	1.43E-08	5.38E-09	4.70E-09
-320	1.00E-08	2.16E-08	6.91E-09	6.09E-09	8.82E-09	2.84E-08	5.94E-09	5.09E-09	1.43E-08	5.39E-09	4.72E-09
-330	1.01E-08	2.16E-08	6.94E-09	6.10E-09	8.84E-09	2.85E-08	5.96E-09	5.11E-09	1.44E-08	5.41E-09	4.74E-09
-340	1.01E-08	2.17E-08	6.96E-09	6.12E-09	8.87E-09	2.85E-08	5.98E-09	5.13E-09	1.44E-08	5.42E-09	4.75E-09
-350	1.01E-08	2.17E-08	6.97E-09	6.14E-09	8.89E-09	2.86E-08	5.99E-09	5.14E-09	1.44E-08	5.44E-09	4.77E-09
-360	1.02E-08	2.18E-08	6.99E-09	6.15E-09	8.91E-09	2.86E-08	6.00E-09	5.16E-09	1.45E-08	5.46E-09	4.78E-09
-370	1.02E-08	2.18E-08	7.01E-09	6.16E-09	8.94E-09	2.87E-08	6.02E-09	5.17E-09	1.45E-08	5.47E-09	4.80E-09
-380	1.02E-08	2.18E-08	7.02E-09	6.17E-09	8.96E-09	2.88E-08	6.03E-09	5.18E-09	1.46E-08	5.49E-09	4.81E-09
