CV Measurement
Barcode=33305010000619	DateCV=20151103	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	1.0882000E-11	1.0049000E-11	1.0843000E-11	2.5070000E-11	3.1774000E-11
-2.4750000E+1	7.6360000E-12	6.8510000E-12	7.5860000E-12	1.5007000E-11	2.2073000E-11
-4.4500000E+1	6.9320000E-12	6.2290000E-12	6.8800000E-12	1.2903000E-11	2.0041000E-11
-6.4250000E+1	6.6220000E-12	5.9490000E-12	6.5680000E-12	1.1966000E-11	1.9139000E-11
-8.4000000E+1	6.4280000E-12	5.7790000E-12	6.3710000E-12	1.1378000E-11	1.8578000E-11
-1.0375000E+2	6.2850000E-12	5.6650000E-12	6.2320000E-12	1.0968000E-11	1.8182000E-11
-1.2350000E+2	6.1720000E-12	5.5720000E-12	6.1180000E-12	1.0637000E-11	1.7862000E-11
-1.4325000E+2	6.0850000E-12	5.4970000E-12	6.0240000E-12	1.0368000E-11	1.7606000E-11
-1.6300000E+2	6.0020000E-12	5.4350000E-12	5.9470000E-12	1.0145000E-11	1.7384000E-11
-1.8275000E+2	5.9350000E-12	5.3830000E-12	5.8790000E-12	9.9530000E-12	1.7197000E-11
-2.0250000E+2	5.8750000E-12	5.3360000E-12	5.8180000E-12	9.7810000E-12	1.7029000E-11
-2.2225000E+2	5.8210000E-12	5.2950000E-12	5.7620000E-12	9.6240000E-12	1.6878000E-11
-2.4200000E+2	5.7900000E-12	5.2720000E-12	5.7330000E-12	9.5390000E-12	1.6795000E-11
-2.6175000E+2	5.7840000E-12	5.2670000E-12	5.7260000E-12	9.5200000E-12	1.6777000E-11
-2.8150000E+2	5.7820000E-12	5.2640000E-12	5.7240000E-12	9.5140000E-12	1.6770000E-11
-3.0125000E+2	5.7820000E-12	5.2640000E-12	5.7230000E-12	9.5100000E-12	1.6769000E-11
-3.2100000E+2	5.7800000E-12	5.2630000E-12	5.7210000E-12	9.5060000E-12	1.6764000E-11
-3.4075000E+2	5.7800000E-12	5.2620000E-12	5.7210000E-12	9.5040000E-12	1.6763000E-11
-3.6050000E+2	5.7800000E-12	5.2620000E-12	5.7210000E-12	9.5020000E-12	1.6763000E-11
-3.8025000E+2	5.8100000E-12	5.2620000E-12	5.7190000E-12	9.4990000E-12	1.6791000E-11
-4.0000000E+2	5.7790000E-12	5.2610000E-12	5.7190000E-12	9.5000000E-12	1.6759000E-11
