CV Measurement
Barcode=33305010000619	DateCV=20151103	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	1.0808000E-11	9.9620000E-12	1.0685000E-11	2.4730000E-11	3.1455000E-11
-2.4750000E+1	7.6080000E-12	6.8200000E-12	7.4520000E-12	1.4815000E-11	2.1880000E-11
-4.4500000E+1	6.8500000E-12	6.1920000E-12	6.7170000E-12	1.2618000E-11	1.9759000E-11
-6.4250000E+1	6.4990000E-12	5.9200000E-12	6.4210000E-12	1.1662000E-11	1.8840000E-11
-8.4000000E+1	6.3240000E-12	5.7670000E-12	6.2460000E-12	1.1136000E-11	1.8337000E-11
-1.0375000E+2	6.2030000E-12	5.6650000E-12	6.1270000E-12	1.0775000E-11	1.7995000E-11
-1.2350000E+2	6.1050000E-12	5.5770000E-12	6.0230000E-12	1.0470000E-11	1.7705000E-11
-1.4325000E+2	6.0160000E-12	5.5070000E-12	5.9390000E-12	1.0225000E-11	1.7462000E-11
-1.6300000E+2	5.9450000E-12	5.4490000E-12	5.8690000E-12	1.0020000E-11	1.7263000E-11
-1.8275000E+2	5.8850000E-12	5.4000000E-12	5.8080000E-12	9.8440000E-12	1.7093000E-11
-2.0250000E+2	5.8300000E-12	5.3560000E-12	5.7520000E-12	9.6870000E-12	1.6938000E-11
-2.2225000E+2	5.7790000E-12	5.3150000E-12	5.7020000E-12	9.5390000E-12	1.6796000E-11
-2.4200000E+2	5.7420000E-12	5.2840000E-12	5.6630000E-12	9.4300000E-12	1.6689000E-11
-2.6175000E+2	5.7320000E-12	5.2760000E-12	5.6530000E-12	9.4000000E-12	1.6661000E-11
-2.8150000E+2	5.7290000E-12	5.2740000E-12	5.6490000E-12	9.3910000E-12	1.6652000E-11
-3.0125000E+2	5.7270000E-12	5.2730000E-12	5.6500000E-12	9.3890000E-12	1.6650000E-11
-3.2100000E+2	5.7480000E-12	5.2730000E-12	5.6480000E-12	9.3850000E-12	1.6669000E-11
-3.4075000E+2	5.7510000E-12	5.2730000E-12	5.6470000E-12	9.3830000E-12	1.6671000E-11
-3.6050000E+2	5.7540000E-12	5.2710000E-12	5.6460000E-12	9.3810000E-12	1.6671000E-11
-3.8025000E+2	5.7270000E-12	5.2710000E-12	5.6450000E-12	9.3810000E-12	1.6643000E-11
-4.0000000E+2	5.7270000E-12	5.2710000E-12	5.6450000E-12	9.3790000E-12	1.6643000E-11
