CV Measurement
Barcode=33305010000619	DateCV=20151103	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	1.0580000E-11	9.8640000E-12	1.0539000E-11	2.4300000E-11	3.0983000E-11
-2.4750000E+1	7.4200000E-12	6.7680000E-12	7.3640000E-12	1.4482000E-11	2.1552000E-11
-4.4500000E+1	6.7800000E-12	6.1860000E-12	6.7010000E-12	1.2524000E-11	1.9667000E-11
-6.4250000E+1	6.5090000E-12	5.9310000E-12	6.4270000E-12	1.1692000E-11	1.8867000E-11
-8.4000000E+1	6.3340000E-12	5.7730000E-12	6.2500000E-12	1.1160000E-11	1.8357000E-11
-1.0375000E+2	6.2120000E-12	5.6700000E-12	6.1290000E-12	1.0791000E-11	1.8011000E-11
-1.2350000E+2	6.1070000E-12	5.5810000E-12	6.0250000E-12	1.0485000E-11	1.7713000E-11
-1.4325000E+2	6.0220000E-12	5.5090000E-12	5.9380000E-12	1.0236000E-11	1.7469000E-11
-1.6300000E+2	5.9520000E-12	5.4490000E-12	5.8680000E-12	1.0030000E-11	1.7269000E-11
-1.8275000E+2	5.8910000E-12	5.4000000E-12	5.8060000E-12	9.8510000E-12	1.7097000E-11
-2.0250000E+2	5.8370000E-12	5.3550000E-12	5.7500000E-12	9.6930000E-12	1.6942000E-11
-2.2225000E+2	5.7850000E-12	5.3150000E-12	5.6990000E-12	9.5460000E-12	1.6799000E-11
-2.4200000E+2	5.7470000E-12	5.2820000E-12	5.6600000E-12	9.4330000E-12	1.6689000E-11
-2.6175000E+2	5.7370000E-12	5.2750000E-12	5.6480000E-12	9.4020000E-12	1.6660000E-11
-2.8150000E+2	5.7340000E-12	5.2730000E-12	5.6460000E-12	9.3940000E-12	1.6653000E-11
-3.0125000E+2	5.7330000E-12	5.2710000E-12	5.6450000E-12	9.3900000E-12	1.6649000E-11
-3.2100000E+2	5.7320000E-12	5.2700000E-12	5.6450000E-12	9.3870000E-12	1.6647000E-11
-3.4075000E+2	5.7330000E-12	5.2700000E-12	5.6450000E-12	9.3860000E-12	1.6648000E-11
-3.6050000E+2	5.7320000E-12	5.2690000E-12	5.6430000E-12	9.3830000E-12	1.6644000E-11
-3.8025000E+2	5.7620000E-12	5.2700000E-12	5.6430000E-12	9.3820000E-12	1.6675000E-11
-4.0000000E+2	5.7320000E-12	5.2690000E-12	5.6420000E-12	9.3820000E-12	1.6643000E-11
