CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	1.3177000E-11	1.2107000E-11	1.3044000E-11	3.2800000E-11	3.8328000E-11
-2.4750000E+1	8.3370000E-12	7.2190000E-12	8.2260000E-12	1.7653000E-11	2.3782000E-11
-4.4500000E+1	7.9040000E-12	6.9210000E-12	7.7730000E-12	1.6419000E-11	2.2598000E-11
-6.4250000E+1	7.6450000E-12	6.7920000E-12	7.4910000E-12	1.5717000E-11	2.1928000E-11
-8.4000000E+1	7.4290000E-12	6.6900000E-12	7.2680000E-12	1.5142000E-11	2.1387000E-11
-1.0375000E+2	7.2560000E-12	6.5940000E-12	7.1400000E-12	1.4710000E-11	2.0990000E-11
-1.2350000E+2	7.1830000E-12	6.5610000E-12	7.1240000E-12	1.4593000E-11	2.0868000E-11
-1.4325000E+2	7.1660000E-12	6.5430000E-12	7.1070000E-12	1.4536000E-11	2.0816000E-11
-1.6300000E+2	7.1510000E-12	6.5290000E-12	7.0930000E-12	1.4491000E-11	2.0773000E-11
-1.8275000E+2	7.1380000E-12	6.5160000E-12	7.0790000E-12	1.4451000E-11	2.0733000E-11
-2.0250000E+2	7.1310000E-12	6.5080000E-12	7.0720000E-12	1.4424000E-11	2.0711000E-11
-2.2225000E+2	7.1180000E-12	6.4940000E-12	7.0590000E-12	1.4385000E-11	2.0671000E-11
-2.4200000E+2	7.1080000E-12	6.4840000E-12	7.0480000E-12	1.4356000E-11	2.0640000E-11
-2.6175000E+2	7.1010000E-12	6.4760000E-12	7.0400000E-12	1.4329000E-11	2.0617000E-11
-2.8150000E+2	7.0940000E-12	6.4690000E-12	7.0330000E-12	1.4307000E-11	2.0596000E-11
-3.0125000E+2	7.0880000E-12	6.4610000E-12	7.0260000E-12	1.4284000E-11	2.0575000E-11
-3.2100000E+2	7.0800000E-12	6.4540000E-12	7.0190000E-12	1.4263000E-11	2.0553000E-11
-3.4075000E+2	7.1050000E-12	6.4490000E-12	7.0120000E-12	1.4244000E-11	2.0566000E-11
-3.6050000E+2	7.0700000E-12	6.4410000E-12	7.0070000E-12	1.4226000E-11	2.0518000E-11
-3.8025000E+2	7.0660000E-12	6.4360000E-12	7.0010000E-12	1.4210000E-11	2.0503000E-11
-4.0000000E+2	7.0610000E-12	6.4310000E-12	6.9970000E-12	1.4193000E-11	2.0489000E-11
