#resolution  strip seperation  strip width  detectors thickness  length  Total Capacitance  Capacitance to #Backpalne  Capacitance First Neighbor  Capacitance Second Neighbor 
32768  72  8  320  30490  2.2653  0.8649  0.5194  0.1807
32768  68  12  320  30490  2.5381  0.8875  0.6243  0.201
32768  64  16  320  30490  2.7778  0.9026  0.721  0.2166
32768  60  20  320  30490  3.0016  0.9135  0.8146  0.2294
32768  56  24  320  30490  3.2179  0.9218  0.9078  0.2403
32768  52  28  320  30490  3.4325  0.9282  1.0025  0.2496
32768  48  32  320  30490  3.6495  0.9331  1.1004  0.2578
32768  44  36  320  30490  3.8729  0.9369  1.2029  0.2651
32768  40  40  320  30490  4.1065  0.9397  1.3119  0.2715
32768  36  44  320  30490  4.3547  0.9418  1.4292  0.2773
32768  32  48  320  30490  4.6229  0.9431  1.5574  0.2825
32768  28  52  320  30490  4.9183  0.9439  1.7  0.2872
32768  24  56  320  30491  5.2509  0.9441  1.862  0.2914
