#resolution  strip seperation  strip width  detectors thickness  length  Total Capacitance  Capacitance to #Backpalne  Capacitance First Neighbor  Capacitance Second Neighbor 
32768  108  12  120  30490  2.6037  2.0153  0.2672  0.027
32768  102  18  120  30490  2.9267  2.1939  0.3362  0.0303
32768  96  24  120  30490  3.2099  2.338  0.4033  0.0326
32768  90  30  120  30490  3.4724  2.4607  0.4714  0.0345
32768  84  36  120  30490  3.724  2.5682  0.542  0.0359
32768  78  42  120  30490  3.9709  2.6638  0.6165  0.0371
32768  72  48  120  30490  4.2178  2.7494  0.6961  0.0381
32768  66  54  120  30490  4.4685  2.8263  0.7823  0.0389
32768  60  60  120  30490  4.7274  2.8953  0.8765  0.0396
32768  54  66  120  30490  4.9986  2.957  0.9807  0.0401
32768  48  72  120  30490  5.2877  3.0117  1.0975  0.0406
32768  42  78  120  30490  5.6019  3.0596  1.2302  0.041
32768  36  84  120  30491  5.9515  3.1011  1.3839  0.0413
