CV Measurement
Barcode=33305010000619	DateCV=20160309	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	1.2950000E-12	0.0000000E+0	1.2950000E-12
-1.0000000E+1	1.7530000E-12	0.0000000E+0	1.7530000E-12
-1.5000000E+1	1.8960000E-12	0.0000000E+0	1.8960000E-12
-2.0000000E+1	2.0260000E-12	0.0000000E+0	2.0260000E-12
-2.5000000E+1	2.1790000E-12	0.0000000E+0	2.1790000E-12
-3.0000000E+1	2.2930000E-12	0.0000000E+0	2.2930000E-12
-3.5000000E+1	2.3580000E-12	0.0000000E+0	2.3580000E-12
-4.0000000E+1	2.3710000E-12	0.0000000E+0	2.3710000E-12
-4.5000000E+1	2.3610000E-12	0.0000000E+0	2.3610000E-12
-5.0000000E+1	2.3450000E-12	0.0000000E+0	2.3450000E-12
-5.5000000E+1	2.3310000E-12	0.0000000E+0	2.3310000E-12
-6.0000000E+1	2.3240000E-12	0.0000000E+0	2.3240000E-12
-6.5000000E+1	2.3220000E-12	0.0000000E+0	2.3220000E-12
-7.0000000E+1	2.3230000E-12	0.0000000E+0	2.3230000E-12
-7.5000000E+1	2.3260000E-12	0.0000000E+0	2.3260000E-12
-8.0000000E+1	2.3310000E-12	0.0000000E+0	2.3310000E-12
-8.5000000E+1	2.3370000E-12	0.0000000E+0	2.3370000E-12
-9.0000000E+1	2.3390000E-12	0.0000000E+0	2.3390000E-12
-9.5000000E+1	2.3380000E-12	0.0000000E+0	2.3380000E-12
-1.0000000E+2	2.3330000E-12	0.0000000E+0	2.3330000E-12
-1.0500000E+2	2.3270000E-12	0.0000000E+0	2.3270000E-12
-1.1000000E+2	2.3190000E-12	0.0000000E+0	2.3190000E-12
-1.1500000E+2	2.3090000E-12	0.0000000E+0	2.3090000E-12
-1.2000000E+2	2.2970000E-12	0.0000000E+0	2.2970000E-12
-1.2500000E+2	2.2850000E-12	0.0000000E+0	2.2850000E-12
-1.3000000E+2	2.2720000E-12	0.0000000E+0	2.2720000E-12
-1.3500000E+2	2.2590000E-12	0.0000000E+0	2.2590000E-12
-1.4000000E+2	2.2460000E-12	0.0000000E+0	2.2460000E-12
-1.4500000E+2	2.2340000E-12	0.0000000E+0	2.2340000E-12
-1.5000000E+2	2.2210000E-12	0.0000000E+0	2.2210000E-12
-1.5500000E+2	2.2070000E-12	0.0000000E+0	2.2070000E-12
-1.6000000E+2	2.1930000E-12	0.0000000E+0	2.1930000E-12
-1.6500000E+2	2.1800000E-12	0.0000000E+0	2.1800000E-12
-1.7000000E+2	2.1660000E-12	0.0000000E+0	2.1660000E-12
-1.7500000E+2	2.1500000E-12	0.0000000E+0	2.1500000E-12
-1.8000000E+2	2.1360000E-12	0.0000000E+0	2.1360000E-12
-1.8500000E+2	2.1240000E-12	0.0000000E+0	2.1240000E-12
-1.9000000E+2	2.1110000E-12	0.0000000E+0	2.1110000E-12
-1.9500000E+2	2.0970000E-12	0.0000000E+0	2.0970000E-12
-2.0000000E+2	2.0860000E-12	0.0000000E+0	2.0860000E-12
-2.0500000E+2	2.0730000E-12	0.0000000E+0	2.0730000E-12
-2.1000000E+2	2.0640000E-12	0.0000000E+0	2.0640000E-12
-2.1500000E+2	2.0510000E-12	0.0000000E+0	2.0510000E-12
