CV Measurement
Barcode=33305010000619	DateCV=20151103	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	1.3093000E-11	1.2329000E-11	1.2986000E-11	3.1880000E-11	3.8408000E-11
-2.4750000E+1	8.7720000E-12	7.9710000E-12	8.6390000E-12	1.8420000E-11	2.5382000E-11
-4.4500000E+1	7.5700000E-12	6.9440000E-12	7.4150000E-12	1.4853000E-11	2.1929000E-11
-6.4250000E+1	6.8750000E-12	6.4100000E-12	6.7410000E-12	1.2883000E-11	2.0026000E-11
-8.4000000E+1	6.6130000E-12	6.1840000E-12	6.4990000E-12	1.2122000E-11	1.9296000E-11
-1.0375000E+2	6.4960000E-12	6.0650000E-12	6.3830000E-12	1.1748000E-11	1.8944000E-11
-1.2350000E+2	6.3870000E-12	5.9610000E-12	6.2780000E-12	1.1428000E-11	1.8626000E-11
-1.4325000E+2	6.3010000E-12	5.8760000E-12	6.1930000E-12	1.1164000E-11	1.8370000E-11
-1.6300000E+2	6.2290000E-12	5.8070000E-12	6.1190000E-12	1.0941000E-11	1.8155000E-11
-1.8275000E+2	6.1670000E-12	5.7470000E-12	6.0550000E-12	1.0751000E-11	1.7969000E-11
-2.0250000E+2	6.1110000E-12	5.6950000E-12	5.9990000E-12	1.0582000E-11	1.7805000E-11
-2.2225000E+2	6.0590000E-12	5.6460000E-12	5.9460000E-12	1.0426000E-11	1.7651000E-11
-2.4200000E+2	6.0100000E-12	5.6020000E-12	5.8970000E-12	1.0278000E-11	1.7509000E-11
-2.6175000E+2	5.9730000E-12	5.5680000E-12	5.8600000E-12	1.0166000E-11	1.7401000E-11
-2.8150000E+2	5.9630000E-12	5.5580000E-12	5.8480000E-12	1.0133000E-11	1.7369000E-11
-3.0125000E+2	5.9590000E-12	5.5540000E-12	5.8450000E-12	1.0124000E-11	1.7358000E-11
-3.2100000E+2	5.9590000E-12	5.5540000E-12	5.8440000E-12	1.0119000E-11	1.7357000E-11
-3.4075000E+2	5.9580000E-12	5.5530000E-12	5.8430000E-12	1.0118000E-11	1.7354000E-11
-3.6050000E+2	5.9570000E-12	5.5520000E-12	5.8420000E-12	1.0115000E-11	1.7351000E-11
-3.8025000E+2	5.9580000E-12	5.5510000E-12	5.8410000E-12	1.0114000E-11	1.7350000E-11
-4.0000000E+2	5.9570000E-12	5.5510000E-12	5.8410000E-12	1.0110000E-11	1.7349000E-11
