CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	6.1150000E-10	0.0000000E+0	6.1150000E-10
-2.4750000E+1	2.7980000E-10	0.0000000E+0	2.7980000E-10
-4.4500000E+1	2.1490000E-10	0.0000000E+0	2.1490000E-10
-6.4250000E+1	1.7830000E-10	0.0000000E+0	1.7830000E-10
-8.4000000E+1	1.5660000E-10	0.0000000E+0	1.5660000E-10
-1.0375000E+2	1.4280000E-10	0.0000000E+0	1.4280000E-10
-1.2350000E+2	1.2980000E-10	0.0000000E+0	1.2980000E-10
-1.4325000E+2	1.2010000E-10	0.0000000E+0	1.2010000E-10
-1.6300000E+2	1.1370000E-10	0.0000000E+0	1.1370000E-10
-1.8275000E+2	1.0820000E-10	0.0000000E+0	1.0820000E-10
-2.0250000E+2	1.0590000E-10	0.0000000E+0	1.0590000E-10
-2.2225000E+2	9.9500000E-11	0.0000000E+0	9.9500000E-11
-2.4200000E+2	9.5500000E-11	0.0000000E+0	9.5500000E-11
-2.6175000E+2	9.2500000E-11	0.0000000E+0	9.2500000E-11
-2.8150000E+2	9.0600000E-11	0.0000000E+0	9.0600000E-11
-3.0125000E+2	9.0100000E-11	0.0000000E+0	9.0100000E-11
-3.2100000E+2	9.0800000E-11	0.0000000E+0	9.0800000E-11
-3.4075000E+2	9.0600000E-11	0.0000000E+0	9.0600000E-11
-3.6050000E+2	9.0500000E-11	0.0000000E+0	9.0500000E-11
-3.8025000E+2	9.0800000E-11	0.0000000E+0	9.0800000E-11
-4.0000000E+2	9.1300000E-11	0.0000000E+0	9.1300000E-11
