IV Measurement
Barcode=33305010000619	DateIV=20151106	TempIV=23.3	HumidityIV=50.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	3.7299900E-12	0.0000000E+0
-1.0000000E+1	2.8012000E-12	0.0000000E+0
-2.0000000E+1	9.1577300E-12	0.0000000E+0
-3.0000000E+1	1.6267760E-11	0.0000000E+0
-4.0000000E+1	1.2672400E-11	0.0000000E+0
-5.0000000E+1	9.1984300E-12	0.0000000E+0
-6.0000000E+1	1.0684140E-11	0.0000000E+0
-7.0000000E+1	1.8948180E-11	0.0000000E+0
-8.0000000E+1	1.5014580E-11	0.0000000E+0
-9.0000000E+1	1.0948840E-11	0.0000000E+0
-1.0000000E+2	1.4297500E-11	0.0000000E+0
-1.1000000E+2	1.6299270E-11	0.0000000E+0
-1.2000000E+2	1.6227020E-11	0.0000000E+0
-1.3000000E+2	1.9851470E-11	0.0000000E+0
-1.4000000E+2	1.8936540E-11	0.0000000E+0
-1.5000000E+2	1.4766020E-11	0.0000000E+0
-1.6000000E+2	1.9803870E-11	0.0000000E+0
-1.7000000E+2	1.5989240E-11	0.0000000E+0
-1.8000000E+2	1.7962610E-11	0.0000000E+0
-1.9000000E+2	1.0616250E-11	0.0000000E+0
-2.0000000E+2	1.3168070E-11	0.0000000E+0
-2.1000000E+2	2.0404320E-11	0.0000000E+0
-2.2000000E+2	1.7550530E-11	0.0000000E+0
-2.3000000E+2	1.1876660E-11	0.0000000E+0
-2.4000000E+2	1.1386040E-11	0.0000000E+0
-2.5000000E+2	2.0462650E-11	0.0000000E+0
-2.6000000E+2	2.0344780E-11	0.0000000E+0
-2.7000000E+2	1.5387950E-11	0.0000000E+0
-2.8000000E+2	1.6944990E-11	0.0000000E+0
-2.9000000E+2	1.8634720E-11	0.0000000E+0
-3.0000000E+2	1.3327920E-11	0.0000000E+0
-3.1000000E+2	1.2121820E-11	0.0000000E+0
-3.2000000E+2	2.0974500E-11	0.0000000E+0
-3.3000000E+2	1.7779330E-11	0.0000000E+0
-3.4000000E+2	1.1632350E-11	0.0000000E+0
-3.5000000E+2	1.8925240E-11	0.0000000E+0
-3.6000000E+2	1.1841640E-11	0.0000000E+0
-3.7000000E+2	1.7207000E-11	0.0000000E+0
-3.8000000E+2	1.9196810E-11	0.0000000E+0
-3.9000000E+2	1.7477930E-11	0.0000000E+0
-4.0000000E+2	1.9940520E-11	0.0000000E+0
-4.1000000E+2	1.3096820E-11	0.0000000E+0
-4.2000000E+2	1.4390960E-11	0.0000000E+0
-4.3000000E+2	3.4046100E-11	0.0000000E+0
-4.4000000E+2	1.5607390E-11	0.0000000E+0
-4.5000000E+2	1.6861120E-11	0.0000000E+0
-4.6000000E+2	1.4409590E-11	0.0000000E+0
-4.7000000E+2	1.3895690E-11	0.0000000E+0
-4.8000000E+2	1.6983180E-11	0.0000000E+0
-4.9000000E+2	2.0932280E-11	0.0000000E+0
-5.0000000E+2	1.2008230E-11	0.0000000E+0
-5.1000000E+2	3.4618800E-11	0.0000000E+0
-5.2000000E+2	1.2711940E-11	0.0000000E+0
-5.3000000E+2	1.9950110E-11	0.0000000E+0
-5.4000000E+2	3.4442300E-11	0.0000000E+0
-5.5000000E+2	3.4032700E-11	0.0000000E+0
-5.6000000E+2	1.2191310E-11	0.0000000E+0
-5.7000000E+2	1.5385940E-11	0.0000000E+0
-5.8000000E+2	1.4770430E-11	0.0000000E+0
-5.9000000E+2	1.1830960E-11	0.0000000E+0
-6.0000000E+2	2.0971970E-11	0.0000000E+0
-6.1000000E+2	1.4548200E-11	0.0000000E+0
-6.2000000E+2	1.8427410E-11	0.0000000E+0
-6.3000000E+2	1.4698830E-11	0.0000000E+0
-6.4000000E+2	1.8376200E-11	0.0000000E+0
-6.5000000E+2	3.3993600E-11	0.0000000E+0
-6.6000000E+2	3.4315900E-11	0.0000000E+0
-6.7000000E+2	3.4368100E-11	0.0000000E+0
-6.8000000E+2	1.9119900E-11	0.0000000E+0
-6.9000000E+2	1.6208360E-11	0.0000000E+0
-7.0000000E+2	1.7326980E-11	0.0000000E+0
