IV Measurement
Barcode=33305010000619	DateIV=20151106	TempIV=23.3	HumidityIV=50.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	-2.4188000E-13	0.0000000E+0
-1.0000000E+1	4.2874600E-12	0.0000000E+0
-2.0000000E+1	5.8097600E-12	0.0000000E+0
-3.0000000E+1	7.2790900E-12	0.0000000E+0
-4.0000000E+1	1.5053210E-11	0.0000000E+0
-5.0000000E+1	1.7282120E-11	0.0000000E+0
-6.0000000E+1	1.0174030E-11	0.0000000E+0
-7.0000000E+1	1.1790670E-11	0.0000000E+0
-8.0000000E+1	1.8303300E-11	0.0000000E+0
-9.0000000E+1	1.6559840E-11	0.0000000E+0
-1.0000000E+2	1.2662010E-11	0.0000000E+0
-1.1000000E+2	1.0296950E-11	0.0000000E+0
-1.2000000E+2	1.0499960E-11	0.0000000E+0
-1.3000000E+2	9.2209800E-12	0.0000000E+0
-1.4000000E+2	1.0265370E-11	0.0000000E+0
-1.5000000E+2	1.8934190E-11	0.0000000E+0
-1.6000000E+2	1.9118000E-11	0.0000000E+0
-1.7000000E+2	1.9216760E-11	0.0000000E+0
-1.8000000E+2	1.1462290E-11	0.0000000E+0
-1.9000000E+2	1.3051340E-11	0.0000000E+0
-2.0000000E+2	1.0724780E-11	0.0000000E+0
-2.1000000E+2	1.8312370E-11	0.0000000E+0
-2.2000000E+2	1.9199370E-11	0.0000000E+0
-2.3000000E+2	1.8070210E-11	0.0000000E+0
-2.4000000E+2	1.7820820E-11	0.0000000E+0
-2.5000000E+2	1.6326430E-11	0.0000000E+0
-2.6000000E+2	1.5059690E-11	0.0000000E+0
-2.7000000E+2	1.0229790E-11	0.0000000E+0
-2.8000000E+2	1.1531830E-11	0.0000000E+0
-2.9000000E+2	1.1463720E-11	0.0000000E+0
-3.0000000E+2	1.6457380E-11	0.0000000E+0
-3.1000000E+2	1.0951280E-11	0.0000000E+0
-3.2000000E+2	1.0551770E-11	0.0000000E+0
-3.3000000E+2	1.1396380E-11	0.0000000E+0
-3.4000000E+2	2.0222240E-11	0.0000000E+0
-3.5000000E+2	1.3190140E-11	0.0000000E+0
-3.6000000E+2	1.1489770E-11	0.0000000E+0
-3.7000000E+2	1.2418200E-11	0.0000000E+0
-3.8000000E+2	1.0956820E-11	0.0000000E+0
-3.9000000E+2	1.3215240E-11	0.0000000E+0
-4.0000000E+2	1.7923680E-11	0.0000000E+0
-4.1000000E+2	1.6572610E-11	0.0000000E+0
-4.2000000E+2	2.0303350E-11	0.0000000E+0
-4.3000000E+2	1.9406980E-11	0.0000000E+0
-4.4000000E+2	1.2994010E-11	0.0000000E+0
-4.5000000E+2	1.2879560E-11	0.0000000E+0
-4.6000000E+2	1.5309740E-11	0.0000000E+0
-4.7000000E+2	1.1438850E-11	0.0000000E+0
-4.8000000E+2	1.2086210E-11	0.0000000E+0
-4.9000000E+2	1.8968070E-11	0.0000000E+0
-5.0000000E+2	2.0362550E-11	0.0000000E+0
-5.1000000E+2	1.5971340E-11	0.0000000E+0
-5.2000000E+2	1.0967610E-11	0.0000000E+0
-5.3000000E+2	1.2451630E-11	0.0000000E+0
-5.4000000E+2	1.9179700E-11	0.0000000E+0
-5.5000000E+2	1.1803240E-11	0.0000000E+0
-5.6000000E+2	1.1467980E-11	0.0000000E+0
-5.7000000E+2	1.2855030E-11	0.0000000E+0
-5.8000000E+2	2.0800810E-11	0.0000000E+0
-5.9000000E+2	1.4410270E-11	0.0000000E+0
-6.0000000E+2	2.0098900E-11	0.0000000E+0
-6.1000000E+2	1.1476580E-11	0.0000000E+0
-6.2000000E+2	1.7281820E-11	0.0000000E+0
-6.3000000E+2	1.9714640E-11	0.0000000E+0
-6.4000000E+2	1.1702090E-11	0.0000000E+0
-6.5000000E+2	1.1591140E-11	0.0000000E+0
-6.6000000E+2	1.2913710E-11	0.0000000E+0
-6.7000000E+2	2.0743280E-11	0.0000000E+0
-6.8000000E+2	1.1376410E-11	0.0000000E+0
-6.9000000E+2	1.1591120E-11	0.0000000E+0
-7.0000000E+2	1.3226740E-11	0.0000000E+0
