IV Measurement
Barcode=33305010000619	DateIV=20151106	TempIV=23.3	HumidityIV=50.0	FluenceIV=	

Voltage		Itotal
0.0000000E+0	1.4914700E-12	0.0000000E+0
-1.0000000E+1	1.1775560E-11	0.0000000E+0
-2.0000000E+1	9.9084900E-12	0.0000000E+0
-3.0000000E+1	1.5031150E-11	0.0000000E+0
-4.0000000E+1	1.7651030E-11	0.0000000E+0
-5.0000000E+1	1.6346020E-11	0.0000000E+0
-6.0000000E+1	9.4918100E-12	0.0000000E+0
-7.0000000E+1	1.1123420E-11	0.0000000E+0
-8.0000000E+1	1.1807810E-11	0.0000000E+0
-9.0000000E+1	1.7151340E-11	0.0000000E+0
-1.0000000E+2	1.7965170E-11	0.0000000E+0
-1.1000000E+2	1.0433290E-11	0.0000000E+0
-1.2000000E+2	1.8349450E-11	0.0000000E+0
-1.3000000E+2	1.0142390E-11	0.0000000E+0
-1.4000000E+2	1.8205900E-11	0.0000000E+0
-1.5000000E+2	1.0425130E-11	0.0000000E+0
-1.6000000E+2	1.0463010E-11	0.0000000E+0
-1.7000000E+2	1.4468050E-11	0.0000000E+0
-1.8000000E+2	1.8090740E-11	0.0000000E+0
-1.9000000E+2	1.8210510E-11	0.0000000E+0
-2.0000000E+2	1.0754410E-11	0.0000000E+0
-2.1000000E+2	1.1455940E-11	0.0000000E+0
-2.2000000E+2	1.5118170E-11	0.0000000E+0
-2.3000000E+2	2.0786630E-11	0.0000000E+0
-2.4000000E+2	1.2148370E-11	0.0000000E+0
-2.5000000E+2	1.5806400E-11	0.0000000E+0
-2.6000000E+2	1.1785990E-11	0.0000000E+0
-2.7000000E+2	1.4734460E-11	0.0000000E+0
-2.8000000E+2	1.8776130E-11	0.0000000E+0
-2.9000000E+2	2.0213160E-11	0.0000000E+0
-3.0000000E+2	1.8866900E-11	0.0000000E+0
-3.1000000E+2	3.4312900E-11	0.0000000E+0
-3.2000000E+2	2.0712580E-11	0.0000000E+0
-3.3000000E+2	1.3551400E-11	0.0000000E+0
-3.4000000E+2	1.5665730E-11	0.0000000E+0
-3.5000000E+2	1.1951290E-11	0.0000000E+0
-3.6000000E+2	2.0076110E-11	0.0000000E+0
-3.7000000E+2	3.4681700E-11	0.0000000E+0
-3.8000000E+2	1.8070630E-11	0.0000000E+0
-3.9000000E+2	1.8794880E-11	0.0000000E+0
-4.0000000E+2	3.4338600E-11	0.0000000E+0
-4.1000000E+2	1.2785690E-11	0.0000000E+0
-4.2000000E+2	1.2293530E-11	0.0000000E+0
-4.3000000E+2	1.6988600E-11	0.0000000E+0
-4.4000000E+2	1.5151030E-11	0.0000000E+0
-4.5000000E+2	1.5566820E-11	0.0000000E+0
-4.6000000E+2	1.6187830E-11	0.0000000E+0
-4.7000000E+2	2.0894820E-11	0.0000000E+0
-4.8000000E+2	1.2581440E-11	0.0000000E+0
-4.9000000E+2	1.1669630E-11	0.0000000E+0
-5.0000000E+2	1.9563670E-11	0.0000000E+0
-5.1000000E+2	2.0680960E-11	0.0000000E+0
-5.2000000E+2	1.1714760E-11	0.0000000E+0
-5.3000000E+2	1.4999490E-11	0.0000000E+0
-5.4000000E+2	1.8202840E-11	0.0000000E+0
-5.5000000E+2	1.8347180E-11	0.0000000E+0
-5.6000000E+2	1.8401380E-11	0.0000000E+0
-5.7000000E+2	3.4020000E-11	0.0000000E+0
-5.8000000E+2	1.2649760E-11	0.0000000E+0
-5.9000000E+2	1.4180230E-11	0.0000000E+0
-6.0000000E+2	2.0361900E-11	0.0000000E+0
-6.1000000E+2	3.4606500E-11	0.0000000E+0
-6.2000000E+2	1.3614700E-11	0.0000000E+0
-6.3000000E+2	3.4038900E-11	0.0000000E+0
-6.4000000E+2	1.4164700E-11	0.0000000E+0
-6.5000000E+2	1.3653900E-11	0.0000000E+0
-6.6000000E+2	1.2337310E-11	0.0000000E+0
-6.7000000E+2	1.9095750E-11	0.0000000E+0
-6.8000000E+2	1.3344020E-11	0.0000000E+0
-6.9000000E+2	1.4388750E-11	0.0000000E+0
-7.0000000E+2	1.9863200E-11	0.0000000E+0
