IV Measurement
Barcode=33305010000619	DateIV=20160407	TempIV=23.5	HumidityIV=40.0	FluenceIV=	

Voltage		Itotal
-5.0000000E+0	-4.8716000E-13	0.0000000E+0
-1.5172414E+1	-5.6604000E-13	0.0000000E+0
-2.5344828E+1	-5.9742000E-13	0.0000000E+0
-3.5517241E+1	-4.6755000E-13	0.0000000E+0
-4.5689655E+1	-5.0823000E-13	0.0000000E+0
-5.5862069E+1	-4.9873000E-13	0.0000000E+0
-6.6034483E+1	-5.4584000E-13	0.0000000E+0
-7.6206897E+1	-5.3677000E-13	0.0000000E+0
-8.6379310E+1	-5.0629000E-13	0.0000000E+0
-9.6551724E+1	-5.1038000E-13	0.0000000E+0
-1.0672414E+2	-4.6388000E-13	0.0000000E+0
-1.1689655E+2	-4.3057000E-13	0.0000000E+0
-1.2706897E+2	-5.6698000E-13	0.0000000E+0
-1.3724138E+2	-4.6462000E-13	0.0000000E+0
-1.4741379E+2	-4.7413000E-13	0.0000000E+0
-1.5758621E+2	-5.4065000E-13	0.0000000E+0
-1.6775862E+2	-4.5237000E-13	0.0000000E+0
-1.7793103E+2	-4.9686000E-13	0.0000000E+0
-1.8810345E+2	-4.6007000E-13	0.0000000E+0
-1.9827586E+2	-4.7608000E-13	0.0000000E+0
-2.0844828E+2	-4.9426000E-13	0.0000000E+0
-2.1862069E+2	-4.3602000E-13	0.0000000E+0
-2.2879310E+2	-3.1873000E-13	0.0000000E+0
-2.3896552E+2	-4.5347000E-13	0.0000000E+0
-2.4913793E+2	-3.4491000E-13	0.0000000E+0
-2.5931034E+2	-4.5828000E-13	0.0000000E+0
-2.6948276E+2	-4.7313000E-13	0.0000000E+0
-2.7965517E+2	-4.4734000E-13	0.0000000E+0
-2.8982759E+2	-4.2402000E-13	0.0000000E+0
-3.0000000E+2	-4.0622000E-13	0.0000000E+0
