CV Measurement
Barcode=33305010000619	DateCV=20160311	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	3.3600000E-10	0.0000000E+0	3.3600000E-10
-1.0000000E+1	2.4820000E-10	0.0000000E+0	2.4820000E-10
-1.5000000E+1	2.0590000E-10	0.0000000E+0	2.0590000E-10
-2.0000000E+1	1.8038000E-10	0.0000000E+0	1.8038000E-10
-2.5000000E+1	1.6262000E-10	0.0000000E+0	1.6262000E-10
-3.0000000E+1	1.4587000E-10	0.0000000E+0	1.4587000E-10
-3.5000000E+1	1.3377000E-10	0.0000000E+0	1.3377000E-10
-4.0000000E+1	1.2394000E-10	0.0000000E+0	1.2394000E-10
-4.5000000E+1	1.1586000E-10	0.0000000E+0	1.1586000E-10
-5.0000000E+1	1.0905000E-10	0.0000000E+0	1.0905000E-10
-5.5000000E+1	1.0301000E-10	0.0000000E+0	1.0301000E-10
-6.0000000E+1	9.7830000E-11	0.0000000E+0	9.7830000E-11
-6.5000000E+1	9.3440000E-11	0.0000000E+0	9.3440000E-11
-7.0000000E+1	8.9870000E-11	0.0000000E+0	8.9870000E-11
-7.5000000E+1	8.6280000E-11	0.0000000E+0	8.6280000E-11
-8.0000000E+1	8.3680000E-11	0.0000000E+0	8.3680000E-11
-8.5000000E+1	8.0840000E-11	0.0000000E+0	8.0840000E-11
-9.0000000E+1	7.8530000E-11	0.0000000E+0	7.8530000E-11
-9.5000000E+1	7.6400000E-11	0.0000000E+0	7.6400000E-11
-1.0000000E+2	7.4720000E-11	0.0000000E+0	7.4720000E-11
-1.0500000E+2	7.3140000E-11	0.0000000E+0	7.3140000E-11
-1.1000000E+2	7.1410000E-11	0.0000000E+0	7.1410000E-11
-1.1500000E+2	6.9060000E-11	0.0000000E+0	6.9060000E-11
-1.2000000E+2	6.5660000E-11	0.0000000E+0	6.5660000E-11
-1.2500000E+2	6.3420000E-11	0.0000000E+0	6.3420000E-11
-1.3000000E+2	6.2190000E-11	0.0000000E+0	6.2190000E-11
-1.3500000E+2	6.1130000E-11	0.0000000E+0	6.1130000E-11
-1.4000000E+2	5.9840000E-11	0.0000000E+0	5.9840000E-11
-1.4500000E+2	5.8980000E-11	0.0000000E+0	5.8980000E-11
-1.5000000E+2	5.8480000E-11	0.0000000E+0	5.8480000E-11
-1.5500000E+2	5.7320000E-11	0.0000000E+0	5.7320000E-11
-1.6000000E+2	5.6550000E-11	0.0000000E+0	5.6550000E-11
