CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	2.1110000E-11	2.0130000E-11	2.1000000E-11	5.7270000E-11	6.2240000E-11
-2.4750000E+1	1.1719000E-11	1.0602000E-11	1.1566000E-11	2.8020000E-11	3.3887000E-11
-4.4500000E+1	1.0722000E-11	9.8700000E-12	1.0428000E-11	2.5050000E-11	3.1020000E-11
-6.4250000E+1	9.8040000E-12	9.2500000E-12	9.2780000E-12	2.2280000E-11	2.8332000E-11
-8.4000000E+1	9.0400000E-12	8.6540000E-12	8.8420000E-12	2.0420000E-11	2.6536000E-11
-1.0375000E+2	8.8430000E-12	8.5060000E-12	8.7940000E-12	2.0010000E-11	2.6143000E-11
-1.2350000E+2	8.8120000E-12	8.4730000E-12	8.7640000E-12	1.9913000E-11	2.6049000E-11
-1.4325000E+2	8.7890000E-12	8.4460000E-12	8.7390000E-12	1.9834000E-11	2.5974000E-11
-1.6300000E+2	8.7690000E-12	8.4220000E-12	8.7190000E-12	1.9769000E-11	2.5910000E-11
-1.8275000E+2	8.7490000E-12	8.4000000E-12	8.7000000E-12	1.9709000E-11	2.5849000E-11
-2.0250000E+2	8.7450000E-12	8.3840000E-12	8.6830000E-12	1.9657000E-11	2.5812000E-11
-2.2225000E+2	8.7340000E-12	8.3680000E-12	8.6690000E-12	1.9612000E-11	2.5771000E-11
-2.4200000E+2	8.7070000E-12	8.3530000E-12	8.6570000E-12	1.9573000E-11	2.5717000E-11
-2.6175000E+2	8.6970000E-12	8.3400000E-12	8.6460000E-12	1.9534000E-11	2.5683000E-11
-2.8150000E+2	8.6860000E-12	8.3280000E-12	8.6350000E-12	1.9499000E-11	2.5649000E-11
-3.0125000E+2	8.6760000E-12	8.3170000E-12	8.6240000E-12	1.9467000E-11	2.5617000E-11
-3.2100000E+2	8.6670000E-12	8.3050000E-12	8.6160000E-12	1.9437000E-11	2.5588000E-11
-3.4075000E+2	8.6590000E-12	8.2970000E-12	8.6060000E-12	1.9409000E-11	2.5562000E-11
-3.6050000E+2	8.6920000E-12	8.2880000E-12	8.5980000E-12	1.9382000E-11	2.5578000E-11
-3.8025000E+2	8.6450000E-12	8.2790000E-12	8.5900000E-12	1.9357000E-11	2.5514000E-11
-4.0000000E+2	8.6380000E-12	8.2700000E-12	8.5830000E-12	1.9333000E-11	2.5491000E-11
