CV Measurement
Barcode=33305010000619	DateCV=20160311	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	2.6770000E-10	0.0000000E+0	2.6770000E-10
-1.0000000E+1	1.9431000E-10	0.0000000E+0	1.9431000E-10
-1.5000000E+1	1.2994000E-10	0.0000000E+0	1.2994000E-10
-2.0000000E+1	1.0854000E-10	0.0000000E+0	1.0854000E-10
-2.5000000E+1	9.6350000E-11	0.0000000E+0	9.6350000E-11
-3.0000000E+1	8.9940000E-11	0.0000000E+0	8.9940000E-11
-3.5000000E+1	8.6310000E-11	0.0000000E+0	8.6310000E-11
-4.0000000E+1	8.3940000E-11	0.0000000E+0	8.3940000E-11
-4.5000000E+1	8.2230000E-11	0.0000000E+0	8.2230000E-11
-5.0000000E+1	8.0570000E-11	0.0000000E+0	8.0570000E-11
-5.5000000E+1	7.9340000E-11	0.0000000E+0	7.9340000E-11
-6.0000000E+1	7.8120000E-11	0.0000000E+0	7.8120000E-11
-6.5000000E+1	7.6680000E-11	0.0000000E+0	7.6680000E-11
-7.0000000E+1	7.5420000E-11	0.0000000E+0	7.5420000E-11
-7.5000000E+1	7.4140000E-11	0.0000000E+0	7.4140000E-11
-8.0000000E+1	7.2870000E-11	0.0000000E+0	7.2870000E-11
-8.5000000E+1	7.1950000E-11	0.0000000E+0	7.1950000E-11
-9.0000000E+1	7.0820000E-11	0.0000000E+0	7.0820000E-11
-9.5000000E+1	7.0090000E-11	0.0000000E+0	7.0090000E-11
-1.0000000E+2	6.6040000E-11	0.0000000E+0	6.6040000E-11
-1.0500000E+2	6.3040000E-11	0.0000000E+0	6.3040000E-11
-1.1000000E+2	6.2630000E-11	0.0000000E+0	6.2630000E-11
-1.1500000E+2	6.2790000E-11	0.0000000E+0	6.2790000E-11
-1.2000000E+2	6.2380000E-11	0.0000000E+0	6.2380000E-11
-1.2500000E+2	6.2560000E-11	0.0000000E+0	6.2560000E-11
-1.3000000E+2	6.2120000E-11	0.0000000E+0	6.2120000E-11
-1.3500000E+2	6.1980000E-11	0.0000000E+0	6.1980000E-11
-1.4000000E+2	6.2250000E-11	0.0000000E+0	6.2250000E-11
-1.4500000E+2	6.2130000E-11	0.0000000E+0	6.2130000E-11
-1.5000000E+2	6.1670000E-11	0.0000000E+0	6.1670000E-11
-1.5500000E+2	6.1570000E-11	0.0000000E+0	6.1570000E-11
-1.6000000E+2	6.1460000E-11	0.0000000E+0	6.1460000E-11
-1.6500000E+2	6.1880000E-11	0.0000000E+0	6.1880000E-11
-1.7000000E+2	6.1780000E-11	0.0000000E+0	6.1780000E-11
-1.7500000E+2	6.1280000E-11	0.0000000E+0	6.1280000E-11
-1.8000000E+2	6.1720000E-11	0.0000000E+0	6.1720000E-11
-1.8500000E+2	6.1670000E-11	0.0000000E+0	6.1670000E-11
-1.9000000E+2	6.1010000E-11	0.0000000E+0	6.1010000E-11
-1.9500000E+2	6.1550000E-11	0.0000000E+0	6.1550000E-11
-2.0000000E+2	6.0870000E-11	0.0000000E+0	6.0870000E-11
-2.0500000E+2	6.0740000E-11	0.0000000E+0	6.0740000E-11
-2.1000000E+2	6.0760000E-11	0.0000000E+0	6.0760000E-11
-2.1500000E+2	6.0650000E-11	0.0000000E+0	6.0650000E-11
-2.2000000E+2	6.0610000E-11	0.0000000E+0	6.0610000E-11
-2.2500000E+2	6.0580000E-11	0.0000000E+0	6.0580000E-11
-2.3000000E+2	6.0480000E-11	0.0000000E+0	6.0480000E-11
-2.3500000E+2	6.1380000E-11	0.0000000E+0	6.1380000E-11
-2.4000000E+2	6.0470000E-11	0.0000000E+0	6.0470000E-11
-2.4500000E+2	6.0360000E-11	0.0000000E+0	6.0360000E-11
-2.5000000E+2	6.1480000E-11	0.0000000E+0	6.1480000E-11
-2.5500000E+2	6.0280000E-11	0.0000000E+0	6.0280000E-11
-2.6000000E+2	6.0210000E-11	0.0000000E+0	6.0210000E-11
-2.6500000E+2	6.0190000E-11	0.0000000E+0	6.0190000E-11
-2.7000000E+2	6.0140000E-11	0.0000000E+0	6.0140000E-11
-2.7500000E+2	6.1570000E-11	0.0000000E+0	6.1570000E-11
-2.8000000E+2	6.0080000E-11	0.0000000E+0	6.0080000E-11
-2.8500000E+2	6.0020000E-11	0.0000000E+0	6.0020000E-11
-2.9000000E+2	6.1810000E-11	0.0000000E+0	6.1810000E-11
