CV Measurement
Barcode=33305010000619	DateCV=20160309	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	1.3590000E-12	0.0000000E+0	1.3590000E-12
-1.0000000E+1	1.9300000E-12	0.0000000E+0	1.9300000E-12
-1.5000000E+1	2.0900000E-12	0.0000000E+0	2.0900000E-12
-2.0000000E+1	2.3180000E-12	0.0000000E+0	2.3180000E-12
-2.5000000E+1	2.4680000E-12	0.0000000E+0	2.4680000E-12
-3.0000000E+1	2.5480000E-12	0.0000000E+0	2.5480000E-12
-3.5000000E+1	2.5670000E-12	0.0000000E+0	2.5670000E-12
-4.0000000E+1	2.5620000E-12	0.0000000E+0	2.5620000E-12
-4.5000000E+1	2.5500000E-12	0.0000000E+0	2.5500000E-12
-5.0000000E+1	2.5370000E-12	0.0000000E+0	2.5370000E-12
-5.5000000E+1	2.5200000E-12	0.0000000E+0	2.5200000E-12
-6.0000000E+1	2.5050000E-12	0.0000000E+0	2.5050000E-12
-6.5000000E+1	2.4960000E-12	0.0000000E+0	2.4960000E-12
-7.0000000E+1	2.4980000E-12	0.0000000E+0	2.4980000E-12
-7.5000000E+1	2.5020000E-12	0.0000000E+0	2.5020000E-12
-8.0000000E+1	2.4990000E-12	0.0000000E+0	2.4990000E-12
-8.5000000E+1	2.4930000E-12	0.0000000E+0	2.4930000E-12
-9.0000000E+1	2.4870000E-12	0.0000000E+0	2.4870000E-12
-9.5000000E+1	2.4820000E-12	0.0000000E+0	2.4820000E-12
-1.0000000E+2	2.4790000E-12	0.0000000E+0	2.4790000E-12
-1.0500000E+2	2.4760000E-12	0.0000000E+0	2.4760000E-12
-1.1000000E+2	2.4730000E-12	0.0000000E+0	2.4730000E-12
-1.1500000E+2	2.4690000E-12	0.0000000E+0	2.4690000E-12
-1.2000000E+2	2.4640000E-12	0.0000000E+0	2.4640000E-12
-1.2500000E+2	2.4580000E-12	0.0000000E+0	2.4580000E-12
-1.3000000E+2	2.4520000E-12	0.0000000E+0	2.4520000E-12
-1.3500000E+2	2.4450000E-12	0.0000000E+0	2.4450000E-12
-1.4000000E+2	2.4370000E-12	0.0000000E+0	2.4370000E-12
-1.4500000E+2	2.4270000E-12	0.0000000E+0	2.4270000E-12
-1.5000000E+2	2.4170000E-12	0.0000000E+0	2.4170000E-12
-1.5500000E+2	2.4070000E-12	0.0000000E+0	2.4070000E-12
-1.6000000E+2	2.3970000E-12	0.0000000E+0	2.3970000E-12
-1.6500000E+2	2.3880000E-12	0.0000000E+0	2.3880000E-12
-1.7000000E+2	2.3760000E-12	0.0000000E+0	2.3760000E-12
-1.7500000E+2	2.3700000E-12	0.0000000E+0	2.3700000E-12
-1.8000000E+2	2.3600000E-12	0.0000000E+0	2.3600000E-12
-1.8500000E+2	2.3530000E-12	0.0000000E+0	2.3530000E-12
-1.9000000E+2	2.3440000E-12	0.0000000E+0	2.3440000E-12
-1.9500000E+2	2.3360000E-12	0.0000000E+0	2.3360000E-12
-2.0000000E+2	2.3290000E-12	0.0000000E+0	2.3290000E-12
-2.0500000E+2	2.3220000E-12	0.0000000E+0	2.3220000E-12
-2.1000000E+2	2.3180000E-12	0.0000000E+0	2.3180000E-12
-2.1500000E+2	2.3140000E-12	0.0000000E+0	2.3140000E-12
-2.2000000E+2	2.3100000E-12	0.0000000E+0	2.3100000E-12
-2.2500000E+2	2.3050000E-12	0.0000000E+0	2.3050000E-12
-2.3000000E+2	2.3020000E-12	0.0000000E+0	2.3020000E-12
-2.3500000E+2	2.3000000E-12	0.0000000E+0	2.3000000E-12
-2.4000000E+2	2.2970000E-12	0.0000000E+0	2.2970000E-12
-2.4500000E+2	2.2930000E-12	0.0000000E+0	2.2930000E-12
-2.5000000E+2	2.2900000E-12	0.0000000E+0	2.2900000E-12
-2.5500000E+2	2.2880000E-12	0.0000000E+0	2.2880000E-12
-2.6000000E+2	2.2840000E-12	0.0000000E+0	2.2840000E-12
-2.6500000E+2	2.2830000E-12	0.0000000E+0	2.2830000E-12
-2.7000000E+2	2.2810000E-12	0.0000000E+0	2.2810000E-12
-2.7500000E+2	2.2800000E-12	0.0000000E+0	2.2800000E-12
-2.8000000E+2	2.2790000E-12	0.0000000E+0	2.2790000E-12
-2.8500000E+2	2.2770000E-12	0.0000000E+0	2.2770000E-12
-2.9000000E+2	2.2750000E-12	0.0000000E+0	2.2750000E-12
-2.9500000E+2	2.2740000E-12	0.0000000E+0	2.2740000E-12
-3.0000000E+2	2.2750000E-12	0.0000000E+0	2.2750000E-12
-3.0500000E+2	2.2710000E-12	0.0000000E+0	2.2710000E-12
-3.1000000E+2	2.2690000E-12	0.0000000E+0	2.2690000E-12
-3.1500000E+2	2.2690000E-12	0.0000000E+0	2.2690000E-12
-3.2000000E+2	2.2670000E-12	0.0000000E+0	2.2670000E-12
-3.2500000E+2	2.2650000E-12	0.0000000E+0	2.2650000E-12
-3.3000000E+2	2.2600000E-12	0.0000000E+0	2.2600000E-12
-3.3500000E+2	2.2590000E-12	0.0000000E+0	2.2590000E-12
-3.4000000E+2	2.2590000E-12	0.0000000E+0	2.2590000E-12
-3.4500000E+2	2.2560000E-12	0.0000000E+0	2.2560000E-12
-3.5000000E+2	2.2540000E-12	0.0000000E+0	2.2540000E-12
-3.5500000E+2	2.2540000E-12	0.0000000E+0	2.2540000E-12
-3.6000000E+2	2.2510000E-12	0.0000000E+0	2.2510000E-12
-3.6500000E+2	2.2500000E-12	0.0000000E+0	2.2500000E-12
-3.7000000E+2	2.2490000E-12	0.0000000E+0	2.2490000E-12
-3.7500000E+2	2.2500000E-12	0.0000000E+0	2.2500000E-12
-3.8000000E+2	2.2480000E-12	0.0000000E+0	2.2480000E-12
-3.8500000E+2	2.2480000E-12	0.0000000E+0	2.2480000E-12
-3.9000000E+2	2.2480000E-12	0.0000000E+0	2.2480000E-12
-3.9500000E+2	2.2480000E-12	0.0000000E+0	2.2480000E-12
-4.0000000E+2	2.2460000E-12	0.0000000E+0	2.2460000E-12
-4.0500000E+2	2.2460000E-12	0.0000000E+0	2.2460000E-12
