CV Measurement
Barcode=33305010000619	DateCV=20151103	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	1.0495000E-11	9.7470000E-12	1.0388000E-11	2.3900000E-11	3.0630000E-11
-2.4750000E+1	7.4590000E-12	6.7590000E-12	7.3590000E-12	1.4515000E-11	2.1577000E-11
-4.4500000E+1	6.6770000E-12	6.1240000E-12	6.5750000E-12	1.2231000E-11	1.9376000E-11
-6.4250000E+1	6.3200000E-12	5.8440000E-12	6.2240000E-12	1.1209000E-11	1.8388000E-11
-8.4000000E+1	6.1690000E-12	5.7050000E-12	6.0720000E-12	1.0746000E-11	1.7946000E-11
-1.0375000E+2	6.0690000E-12	5.6140000E-12	5.9690000E-12	1.0428000E-11	1.7652000E-11
-1.2350000E+2	5.9750000E-12	5.5340000E-12	5.8790000E-12	1.0158000E-11	1.7388000E-11
-1.4325000E+2	5.9070000E-12	5.4700000E-12	5.8040000E-12	9.9410000E-12	1.7181000E-11
-1.6300000E+2	5.8390000E-12	5.4170000E-12	5.7420000E-12	9.7560000E-12	1.6998000E-11
-1.8275000E+2	5.7840000E-12	5.3700000E-12	5.6880000E-12	9.6000000E-12	1.6842000E-11
-2.0250000E+2	5.7360000E-12	5.3300000E-12	5.6390000E-12	9.4590000E-12	1.6705000E-11
-2.2225000E+2	5.6920000E-12	5.2930000E-12	5.5950000E-12	9.3260000E-12	1.6580000E-11
-2.4200000E+2	5.6530000E-12	5.2590000E-12	5.5550000E-12	9.2130000E-12	1.6467000E-11
-2.6175000E+2	5.6370000E-12	5.2460000E-12	5.5390000E-12	9.1640000E-12	1.6422000E-11
-2.8150000E+2	5.6490000E-12	5.2440000E-12	5.5360000E-12	9.1560000E-12	1.6429000E-11
-3.0125000E+2	5.6330000E-12	5.2420000E-12	5.5350000E-12	9.1520000E-12	1.6410000E-11
-3.2100000E+2	5.6320000E-12	5.2420000E-12	5.5340000E-12	9.1500000E-12	1.6408000E-11
-3.4075000E+2	5.6560000E-12	5.2410000E-12	5.5340000E-12	9.1490000E-12	1.6431000E-11
-3.6050000E+2	5.6310000E-12	5.2410000E-12	5.5330000E-12	9.1470000E-12	1.6405000E-11
-3.8025000E+2	5.6330000E-12	5.2410000E-12	5.5330000E-12	9.1460000E-12	1.6407000E-11
-4.0000000E+2	5.6330000E-12	5.2400000E-12	5.5320000E-12	9.1440000E-12	1.6405000E-11
