CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	6.7490000E-10	0.0000000E+0	6.7490000E-10
-2.4750000E+1	2.6970000E-10	0.0000000E+0	2.6970000E-10
-4.4500000E+1	2.4060000E-10	0.0000000E+0	2.4060000E-10
-6.4250000E+1	2.1760000E-10	0.0000000E+0	2.1760000E-10
-8.4000000E+1	1.9460000E-10	0.0000000E+0	1.9460000E-10
-1.0375000E+2	1.8670000E-10	0.0000000E+0	1.8670000E-10
-1.2350000E+2	1.8330000E-10	0.0000000E+0	1.8330000E-10
-1.4325000E+2	1.8150000E-10	0.0000000E+0	1.8150000E-10
-1.6300000E+2	1.8000000E-10	0.0000000E+0	1.8000000E-10
-1.8275000E+2	1.7900000E-10	0.0000000E+0	1.7900000E-10
-2.0250000E+2	1.7780000E-10	0.0000000E+0	1.7780000E-10
-2.2225000E+2	1.7710000E-10	0.0000000E+0	1.7710000E-10
-2.4200000E+2	1.7670000E-10	0.0000000E+0	1.7670000E-10
-2.6175000E+2	1.8200000E-10	0.0000000E+0	1.8200000E-10
-2.8150000E+2	1.7590000E-10	0.0000000E+0	1.7590000E-10
-3.0125000E+2	1.8540000E-10	0.0000000E+0	1.8540000E-10
-3.2100000E+2	1.7530000E-10	0.0000000E+0	1.7530000E-10
-3.4075000E+2	1.7590000E-10	0.0000000E+0	1.7590000E-10
-3.6050000E+2	1.9160000E-10	0.0000000E+0	1.9160000E-10
-3.8025000E+2	1.7540000E-10	0.0000000E+0	1.7540000E-10
-4.0000000E+2	1.7530000E-10	0.0000000E+0	1.7530000E-10
