CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	9.9050000E-12	9.0960000E-12	9.8270000E-12	2.3020000E-11	2.8828000E-11
-2.4750000E+1	6.7980000E-12	6.0040000E-12	6.7300000E-12	1.3273000E-11	1.9532000E-11
-4.4500000E+1	6.5340000E-12	5.8360000E-12	6.4620000E-12	1.2538000E-11	1.8832000E-11
-6.4250000E+1	6.3720000E-12	5.7550000E-12	6.2940000E-12	1.2105000E-11	1.8421000E-11
-8.4000000E+1	6.2400000E-12	5.6950000E-12	6.1520000E-12	1.1746000E-11	1.8087000E-11
-1.0375000E+2	6.1390000E-12	5.6500000E-12	6.0300000E-12	1.1452000E-11	1.7819000E-11
-1.2350000E+2	6.0950000E-12	5.6250000E-12	6.0000000E-12	1.1343000E-11	1.7720000E-11
-1.4325000E+2	6.0730000E-12	5.6100000E-12	5.9900000E-12	1.1299000E-11	1.7673000E-11
-1.6300000E+2	6.0650000E-12	5.6010000E-12	5.9810000E-12	1.1272000E-11	1.7647000E-11
-1.8275000E+2	6.0640000E-12	5.5940000E-12	5.9720000E-12	1.1247000E-11	1.7630000E-11
-2.0250000E+2	6.0510000E-12	5.5880000E-12	5.9660000E-12	1.1227000E-11	1.7605000E-11
-2.2225000E+2	6.0440000E-12	5.5820000E-12	5.9600000E-12	1.1208000E-11	1.7586000E-11
-2.4200000E+2	6.0390000E-12	5.5760000E-12	5.9530000E-12	1.1190000E-11	1.7568000E-11
-2.6175000E+2	6.0340000E-12	5.5720000E-12	5.9490000E-12	1.1174000E-11	1.7555000E-11
-2.8150000E+2	6.0300000E-12	5.5680000E-12	5.9440000E-12	1.1161000E-11	1.7542000E-11
-3.0125000E+2	6.0260000E-12	5.5630000E-12	5.9380000E-12	1.1146000E-11	1.7527000E-11
-3.2100000E+2	6.0220000E-12	5.5590000E-12	5.9350000E-12	1.1135000E-11	1.7516000E-11
-3.4075000E+2	6.0190000E-12	5.5550000E-12	5.9320000E-12	1.1122000E-11	1.7506000E-11
-3.6050000E+2	6.0160000E-12	5.5520000E-12	5.9280000E-12	1.1112000E-11	1.7496000E-11
-3.8025000E+2	6.0130000E-12	5.5500000E-12	5.9250000E-12	1.1103000E-11	1.7488000E-11
-4.0000000E+2	6.0450000E-12	5.5470000E-12	5.9210000E-12	1.1093000E-11	1.7513000E-11
