CV Measurement
Barcode=33305010000619	DateCV=20160310	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	7.9340000E-13	0.0000000E+0	7.9340000E-13
-1.0000000E+1	7.4520000E-13	0.0000000E+0	7.4520000E-13
-1.5000000E+1	7.3500000E-13	0.0000000E+0	7.3500000E-13
-2.0000000E+1	7.2480000E-13	0.0000000E+0	7.2480000E-13
-2.5000000E+1	7.1610000E-13	0.0000000E+0	7.1610000E-13
-3.0000000E+1	7.0770000E-13	0.0000000E+0	7.0770000E-13
-3.5000000E+1	7.1020000E-13	0.0000000E+0	7.1020000E-13
-4.0000000E+1	7.0210000E-13	0.0000000E+0	7.0210000E-13
-4.5000000E+1	6.9350000E-13	0.0000000E+0	6.9350000E-13
-5.0000000E+1	6.9130000E-13	0.0000000E+0	6.9130000E-13
-5.5000000E+1	7.0810000E-13	0.0000000E+0	7.0810000E-13
-6.0000000E+1	7.3060000E-13	0.0000000E+0	7.3060000E-13
-6.5000000E+1	7.5230000E-13	0.0000000E+0	7.5230000E-13
-7.0000000E+1	7.7340000E-13	0.0000000E+0	7.7340000E-13
-7.5000000E+1	7.8850000E-13	0.0000000E+0	7.8850000E-13
-8.0000000E+1	7.9940000E-13	0.0000000E+0	7.9940000E-13
-8.5000000E+1	8.1500000E-13	0.0000000E+0	8.1500000E-13
-9.0000000E+1	8.3370000E-13	0.0000000E+0	8.3370000E-13
-9.5000000E+1	8.5530000E-13	0.0000000E+0	8.5530000E-13
-1.0000000E+2	8.7700000E-13	0.0000000E+0	8.7700000E-13
-1.0500000E+2	8.9780000E-13	0.0000000E+0	8.9780000E-13
-1.1000000E+2	9.1830000E-13	0.0000000E+0	9.1830000E-13
-1.1500000E+2	9.3820000E-13	0.0000000E+0	9.3820000E-13
-1.2000000E+2	9.5800000E-13	0.0000000E+0	9.5800000E-13
-1.2500000E+2	9.7690000E-13	0.0000000E+0	9.7690000E-13
-1.3000000E+2	9.9530000E-13	0.0000000E+0	9.9530000E-13
-1.3500000E+2	1.0136000E-12	0.0000000E+0	1.0136000E-12
-1.4000000E+2	1.0310000E-12	0.0000000E+0	1.0310000E-12
-1.4500000E+2	1.0478000E-12	0.0000000E+0	1.0478000E-12
-1.5000000E+2	1.0642000E-12	0.0000000E+0	1.0642000E-12
-1.5500000E+2	1.0798000E-12	0.0000000E+0	1.0798000E-12
-1.6000000E+2	1.0950000E-12	0.0000000E+0	1.0950000E-12
-1.6500000E+2	1.1099000E-12	0.0000000E+0	1.1099000E-12
-1.7000000E+2	1.1244000E-12	0.0000000E+0	1.1244000E-12
-1.7500000E+2	1.1381000E-12	0.0000000E+0	1.1381000E-12
-1.8000000E+2	1.1517000E-12	0.0000000E+0	1.1517000E-12
-1.8500000E+2	1.1650000E-12	0.0000000E+0	1.1650000E-12
-1.9000000E+2	1.1778000E-12	0.0000000E+0	1.1778000E-12
