CV Measurement
Barcode=33305010000619	DateCV=20151104	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	9.9200000E-12	9.1980000E-12	9.9120000E-12	2.2390000E-11	2.9030000E-11
-2.4750000E+1	7.2670000E-12	6.5220000E-12	7.2270000E-12	1.3942000E-11	2.1016000E-11
-4.4500000E+1	6.7240000E-12	6.0100000E-12	6.6830000E-12	1.2279000E-11	1.9417000E-11
-6.4250000E+1	6.4430000E-12	5.7660000E-12	6.4010000E-12	1.1437000E-11	1.8610000E-11
-8.4000000E+1	6.2630000E-12	5.6200000E-12	6.2210000E-12	1.0907000E-11	1.8104000E-11
-1.0375000E+2	6.1330000E-12	5.5200000E-12	6.0950000E-12	1.0538000E-11	1.7748000E-11
-1.2350000E+2	6.0290000E-12	5.4370000E-12	5.9870000E-12	1.0229000E-11	1.7453000E-11
-1.4325000E+2	5.9400000E-12	5.3700000E-12	5.8980000E-12	9.9790000E-12	1.7208000E-11
-1.6300000E+2	5.8680000E-12	5.3130000E-12	5.8260000E-12	9.7730000E-12	1.7007000E-11
-1.8275000E+2	5.8040000E-12	5.2660000E-12	5.7630000E-12	9.5940000E-12	1.6833000E-11
-2.0250000E+2	5.7470000E-12	5.2230000E-12	5.7050000E-12	9.4300000E-12	1.6675000E-11
-2.2225000E+2	5.6950000E-12	5.1850000E-12	5.6540000E-12	9.2850000E-12	1.6534000E-11
-2.4200000E+2	5.6680000E-12	5.1650000E-12	5.6260000E-12	9.2070000E-12	1.6459000E-11
-2.6175000E+2	5.6620000E-12	5.1620000E-12	5.6210000E-12	9.1920000E-12	1.6445000E-11
-2.8150000E+2	5.6610000E-12	5.1590000E-12	5.6190000E-12	9.1870000E-12	1.6439000E-11
-3.0125000E+2	5.6770000E-12	5.1600000E-12	5.6170000E-12	9.1820000E-12	1.6454000E-11
-3.2100000E+2	5.6590000E-12	5.1580000E-12	5.6160000E-12	9.1790000E-12	1.6433000E-11
-3.4075000E+2	5.6590000E-12	5.1580000E-12	5.6150000E-12	9.1780000E-12	1.6432000E-11
-3.6050000E+2	5.6580000E-12	5.1580000E-12	5.6140000E-12	9.1760000E-12	1.6430000E-11
-3.8025000E+2	5.6580000E-12	5.1570000E-12	5.6140000E-12	9.1740000E-12	1.6429000E-11
-4.0000000E+2	5.6590000E-12	5.1570000E-12	5.6140000E-12	9.1730000E-12	1.6430000E-11
