CV Measurement
Barcode=33305010000619	DateCV=20160309	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Backplane 	StripAll
-5.0000000E+0	2.4090000E-12	0.0000000E+0	2.4090000E-12
-1.0000000E+1	3.2400000E-12	0.0000000E+0	3.2400000E-12
-1.5000000E+1	3.5070000E-12	0.0000000E+0	3.5070000E-12
-2.0000000E+1	3.6590000E-12	0.0000000E+0	3.6590000E-12
-2.5000000E+1	3.7440000E-12	0.0000000E+0	3.7440000E-12
-3.0000000E+1	3.7590000E-12	0.0000000E+0	3.7590000E-12
-3.5000000E+1	3.7410000E-12	0.0000000E+0	3.7410000E-12
-4.0000000E+1	3.7150000E-12	0.0000000E+0	3.7150000E-12
-4.5000000E+1	3.6890000E-12	0.0000000E+0	3.6890000E-12
-5.0000000E+1	3.6580000E-12	0.0000000E+0	3.6580000E-12
-5.5000000E+1	3.6300000E-12	0.0000000E+0	3.6300000E-12
-6.0000000E+1	3.6010000E-12	0.0000000E+0	3.6010000E-12
-6.5000000E+1	3.5730000E-12	0.0000000E+0	3.5730000E-12
-7.0000000E+1	3.5440000E-12	0.0000000E+0	3.5440000E-12
-7.5000000E+1	3.5160000E-12	0.0000000E+0	3.5160000E-12
-8.0000000E+1	3.4890000E-12	0.0000000E+0	3.4890000E-12
-8.5000000E+1	3.4630000E-12	0.0000000E+0	3.4630000E-12
-9.0000000E+1	3.4410000E-12	0.0000000E+0	3.4410000E-12
-9.5000000E+1	3.4340000E-12	0.0000000E+0	3.4340000E-12
-1.0000000E+2	3.4440000E-12	0.0000000E+0	3.4440000E-12
-1.0500000E+2	3.4520000E-12	0.0000000E+0	3.4520000E-12
-1.1000000E+2	3.4470000E-12	0.0000000E+0	3.4470000E-12
-1.1500000E+2	3.4310000E-12	0.0000000E+0	3.4310000E-12
-1.2000000E+2	3.4090000E-12	0.0000000E+0	3.4090000E-12
-1.2500000E+2	3.3820000E-12	0.0000000E+0	3.3820000E-12
-1.3000000E+2	3.3510000E-12	0.0000000E+0	3.3510000E-12
-1.3500000E+2	3.3150000E-12	0.0000000E+0	3.3150000E-12
-1.4000000E+2	3.2780000E-12	0.0000000E+0	3.2780000E-12
-1.4500000E+2	3.2360000E-12	0.0000000E+0	3.2360000E-12
-1.5000000E+2	3.1970000E-12	0.0000000E+0	3.1970000E-12
-1.5500000E+2	3.1430000E-12	0.0000000E+0	3.1430000E-12
-1.6000000E+2	3.0950000E-12	0.0000000E+0	3.0950000E-12
-1.6500000E+2	3.0530000E-12	0.0000000E+0	3.0530000E-12
-1.7000000E+2	3.0190000E-12	0.0000000E+0	3.0190000E-12
-1.7500000E+2	2.9740000E-12	0.0000000E+0	2.9740000E-12
-1.8000000E+2	2.9360000E-12	0.0000000E+0	2.9360000E-12
-1.8500000E+2	2.9010000E-12	0.0000000E+0	2.9010000E-12
-1.9000000E+2	2.8670000E-12	0.0000000E+0	2.8670000E-12
-1.9500000E+2	2.8400000E-12	0.0000000E+0	2.8400000E-12
-2.0000000E+2	2.8170000E-12	0.0000000E+0	2.8170000E-12
-2.0500000E+2	2.7960000E-12	0.0000000E+0	2.7960000E-12
-2.1000000E+2	2.7780000E-12	0.0000000E+0	2.7780000E-12
-2.1500000E+2	2.7640000E-12	0.0000000E+0	2.7640000E-12
-2.2000000E+2	2.7480000E-12	0.0000000E+0	2.7480000E-12
-2.2500000E+2	2.7370000E-12	0.0000000E+0	2.7370000E-12
-2.3000000E+2	2.7260000E-12	0.0000000E+0	2.7260000E-12
-2.3500000E+2	2.7190000E-12	0.0000000E+0	2.7190000E-12
-2.4000000E+2	2.7130000E-12	0.0000000E+0	2.7130000E-12
-2.4500000E+2	2.7060000E-12	0.0000000E+0	2.7060000E-12
-2.5000000E+2	2.7030000E-12	0.0000000E+0	2.7030000E-12
-2.5500000E+2	2.6990000E-12	0.0000000E+0	2.6990000E-12
-2.6000000E+2	2.6960000E-12	0.0000000E+0	2.6960000E-12
-2.6500000E+2	2.6910000E-12	0.0000000E+0	2.6910000E-12
-2.7000000E+2	2.6870000E-12	0.0000000E+0	2.6870000E-12
-2.7500000E+2	2.6860000E-12	0.0000000E+0	2.6860000E-12
-2.8000000E+2	2.6820000E-12	0.0000000E+0	2.6820000E-12
-2.8500000E+2	2.6820000E-12	0.0000000E+0	2.6820000E-12
-2.9000000E+2	2.6780000E-12	0.0000000E+0	2.6780000E-12
-2.9500000E+2	2.6740000E-12	0.0000000E+0	2.6740000E-12
-3.0000000E+2	2.6760000E-12	0.0000000E+0	2.6760000E-12
-3.0500000E+2	2.6740000E-12	0.0000000E+0	2.6740000E-12
-3.1000000E+2	2.6750000E-12	0.0000000E+0	2.6750000E-12
-3.1500000E+2	2.6710000E-12	0.0000000E+0	2.6710000E-12
-3.2000000E+2	2.6680000E-12	0.0000000E+0	2.6680000E-12
-3.2500000E+2	2.6680000E-12	0.0000000E+0	2.6680000E-12
-3.3000000E+2	2.6680000E-12	0.0000000E+0	2.6680000E-12
-3.3500000E+2	2.6660000E-12	0.0000000E+0	2.6660000E-12
-3.4000000E+2	2.6680000E-12	0.0000000E+0	2.6680000E-12
-3.4500000E+2	2.6640000E-12	0.0000000E+0	2.6640000E-12
-3.5000000E+2	2.6620000E-12	0.0000000E+0	2.6620000E-12
-3.5500000E+2	2.6610000E-12	0.0000000E+0	2.6610000E-12
-3.6000000E+2	2.6600000E-12	0.0000000E+0	2.6600000E-12
-3.6500000E+2	2.6580000E-12	0.0000000E+0	2.6580000E-12
-3.7000000E+2	2.6570000E-12	0.0000000E+0	2.6570000E-12
-3.7500000E+2	2.6560000E-12	0.0000000E+0	2.6560000E-12
-3.8000000E+2	2.6720000E-12	0.0000000E+0	2.6720000E-12
-3.8500000E+2	2.6490000E-12	0.0000000E+0	2.6490000E-12
-3.9000000E+2	2.6490000E-12	0.0000000E+0	2.6490000E-12
-3.9500000E+2	2.6650000E-12	0.0000000E+0	2.6650000E-12
-4.0000000E+2	2.6460000E-12	0.0000000E+0	2.6460000E-12
-4.0500000E+2	2.6480000E-12	0.0000000E+0	2.6480000E-12
