CV Measurement
Barcode=33305010000619	DateCV=20151103	TempCV=20.0	HumidityCV=50.0	FluenceCV=	Freq=5000.0

Voltage		Strip1		Strip2		Strip3		StripSum 	StripAll
-5.0000000E+0	1.4323000E-11	1.3301000E-11	1.2076000E-11	3.3300000E-11	3.9700000E-11
-2.4750000E+1	9.1580000E-12	8.3540000E-12	8.9070000E-12	1.9473000E-11	2.6419000E-11
-4.4500000E+1	8.1080000E-12	7.5580000E-12	8.1340000E-12	1.6766000E-11	2.3800000E-11
-6.4250000E+1	7.7250000E-12	7.1560000E-12	7.7440000E-12	1.5552000E-11	2.2625000E-11
-8.4000000E+1	7.4850000E-12	6.8880000E-12	7.4840000E-12	1.4756000E-11	2.1857000E-11
-1.0375000E+2	7.3060000E-12	6.6910000E-12	7.2900000E-12	1.4164000E-11	2.1287000E-11
-1.2350000E+2	7.1600000E-12	6.5330000E-12	7.1290000E-12	1.3676000E-11	2.0822000E-11
-1.4325000E+2	7.0400000E-12	6.4110000E-12	7.0040000E-12	1.3302000E-11	2.0455000E-11
-1.6300000E+2	6.9430000E-12	6.3140000E-12	6.9010000E-12	1.2987000E-11	2.0158000E-11
-1.8275000E+2	6.8540000E-12	6.2240000E-12	6.8070000E-12	1.2707000E-11	1.9885000E-11
-2.0250000E+2	6.7730000E-12	6.1440000E-12	6.7180000E-12	1.2447000E-11	1.9635000E-11
-2.2225000E+2	6.7000000E-12	6.0720000E-12	6.6410000E-12	1.2217000E-11	1.9413000E-11
-2.4200000E+2	6.6870000E-12	6.0570000E-12	6.6230000E-12	1.2166000E-11	1.9367000E-11
-2.6175000E+2	6.6800000E-12	6.0530000E-12	6.6200000E-12	1.2155000E-11	1.9353000E-11
-2.8150000E+2	6.6780000E-12	6.0500000E-12	6.6150000E-12	1.2144000E-11	1.9343000E-11
-3.0125000E+2	6.6740000E-12	6.0460000E-12	6.6120000E-12	1.2134000E-11	1.9332000E-11
-3.2100000E+2	6.6710000E-12	6.0440000E-12	6.6090000E-12	1.2129000E-11	1.9324000E-11
-3.4075000E+2	6.6700000E-12	6.0430000E-12	6.6080000E-12	1.2127000E-11	1.9321000E-11
-3.6050000E+2	6.6700000E-12	6.0410000E-12	6.6070000E-12	1.2122000E-11	1.9318000E-11
-3.8025000E+2	6.6680000E-12	6.0410000E-12	6.6060000E-12	1.2118000E-11	1.9315000E-11
-4.0000000E+2	6.6660000E-12	6.0390000E-12	6.6020000E-12	1.2109000E-11	1.9307000E-11
